Unnamed: 0,PHI,TAM,week,year,game_id
First Downs,27,12,3.0,2023,47
Rush-Yds-TDs,40-201-1,17-41-0,3.0,2023,47
Cmp-Att-Yd-TD-INT,23-37-277-1-2,15-25-146-1-1,3.0,2023,47
Sacked-Yards,1-6,2-13,3.0,2023,47
Net Pass Yards,271,133,3.0,2023,47
Total Yards,472,174,3.0,2023,47
Fumbles-Lost,0-0,2-1,3.0,2023,47
Turnovers,2,2,3.0,2023,47
Penalties-Yards,3-20,4-20,3.0,2023,47
Third Down Conv.,10-16,5-10,3.0,2023,47
Fourth Down Conv.,2-3,0-0,3.0,2023,47
Time of Possession,38:55,21:05,3.0,2023,47
