Unnamed: 0,NWE,NYJ,week,year,game_id
First Downs,17,12,3.0,2023,42
Rush-Yds-TDs,40-157-0,22-38-1,3.0,2023,42
Cmp-Att-Yd-TD-INT,15-29-201-1-0,18-36-157-0-0,3.0,2023,42
Sacked-Yards,0-0,3-24,3.0,2023,42
Net Pass Yards,201,133,3.0,2023,42
Total Yards,358,171,3.0,2023,42
Fumbles-Lost,0-0,1-0,3.0,2023,42
Turnovers,0,0,3.0,2023,42
Penalties-Yards,6-43,3-15,3.0,2023,42
Third Down Conv.,8-19,2-14,3.0,2023,42
Fourth Down Conv.,0-0,1-2,3.0,2023,42
Time of Possession,31:52,28:08,3.0,2023,42
