Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Texans to receive the opening kickoff.",,,3.0,2023,40
1.0,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 66 yards, returned by Mike Boone for 14 yards (tackle by Daniel Thomas and Caleb Johnson)",0.0,-0.32,3.0,2023,40
1.0,14:56,1.0,10.0,HOU 13,0.0,0.0,C.J. Stroud pass incomplete short right intended for Tank Dell,-0.32,-0.77,3.0,2023,40
1.0,14:52,2.0,10.0,HOU 13,0.0,0.0,Dameon Pierce right end for -2 yards (tackle by Travon Walker),-0.77,-1.65,3.0,2023,40
1.0,14:14,3.0,12.0,HOU 11,0.0,0.0,C.J. Stroud pass complete short right to Devin Singletary for 7 yards (tackle by Foyesade Oluokun and Roy Robertson-Harris),-1.65,-2.24,3.0,2023,40
1.0,13:31,4.0,6.0,HOU 18,0.0,0.0,"Ty Zentner punts 45 yards, fair catch by Jamal Agnew at JAC-37. Penalty on Ka'dar Hollman: Fair Catch Interference, 15 yards (accepted)",-2.24,-2.39,3.0,2023,40
1.0,13:25,1.0,10.0,HOU 48,0.0,0.0,Travis Etienne up the middle for 6 yards (tackle by Will Anderson and Jimmie Ward),2.39,2.66,3.0,2023,40
1.0,12:54,2.0,4.0,HOU 42,0.0,0.0,Trevor Lawrence pass complete short right to Calvin Ridley for 11 yards (tackle by Shaquill Griffin),2.66,3.51,3.0,2023,40
1.0,12:30,1.0,10.0,HOU 31,0.0,0.0,Travis Etienne right end for 1 yard (tackle by Will Anderson and Shaquill Griffin),3.51,3.1,3.0,2023,40
1.0,11:46,2.0,9.0,HOU 30,0.0,0.0,Trevor Lawrence pass incomplete deep left intended for Calvin Ridley,3.1,2.41,3.0,2023,40
1.0,11:41,3.0,9.0,HOU 30,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Tim Jones,2.41,1.41,3.0,2023,40
1.0,11:36,4.0,9.0,HOU 30,0.0,0.0,Brandon McManus 48 yard field goal no good,1.41,-1.47,3.0,2023,40
1.0,11:32,1.0,10.0,HOU 38,0.0,0.0,C.J. Stroud pass complete short left to Dameon Pierce for 7 yards (tackle by Andre Cisco and Foyesade Oluokun),1.47,1.87,3.0,2023,40
1.0,10:54,2.0,3.0,HOU 45,0.0,0.0,Dameon Pierce up the middle for 2 yards (tackle by Foyesade Oluokun),1.87,1.42,3.0,2023,40
1.0,10:15,3.0,1.0,HOU 47,0.0,0.0,Dameon Pierce up the middle for 2 yards (tackle by Rayshawn Jenkins),1.42,2.19,3.0,2023,40
1.0,9:31,1.0,10.0,HOU 49,0.0,0.0,Dameon Pierce left end for 3 yards (tackle by Josh Allen and Foyesade Oluokun),2.19,2.05,3.0,2023,40
1.0,8:47,2.0,7.0,JAX 48,0.0,0.0,C.J. Stroud pass complete deep middle to Tank Dell for 46 yards (tackle by Rayshawn Jenkins),2.05,6.74,3.0,2023,40
1.0,8:15,1.0,2.0,JAX 2,0.0,0.0,C.J. Stroud up the middle for 1 yard (tackle by Folorunso Fatukasi),6.74,5.91,3.0,2023,40
1.0,7:39,2.0,1.0,JAX 1,6.0,0.0,"Dameon Pierce left guard for 1 yard, touchdown",5.91,7.0,3.0,2023,40
1.0,7:35,,,JAX 15,7.0,0.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,3.0,2023,40
1.0,7:35,,,HOU 35,7.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,40
1.0,7:35,1.0,10.0,JAX 25,7.0,0.0,Travis Etienne up the middle for 3 yards (tackle by Will Anderson),0.61,0.47,3.0,2023,40
1.0,6:56,2.0,7.0,JAX 28,7.0,0.0,"Penalty on Calvin Ridley: False Start, 5 yards (accepted) (no play)",0.47,-0.21,3.0,2023,40
1.0,6:36,2.0,12.0,JAX 23,7.0,0.0,Trevor Lawrence pass complete short right to Jamal Agnew for 14 yards (tackle by Grayland Arnold),-0.21,1.4,3.0,2023,40
1.0,5:58,1.0,10.0,JAX 37,7.0,0.0,Travis Etienne up the middle for 4 yards (tackle by Christian Harris),1.4,1.4,3.0,2023,40
1.0,5:36,2.0,6.0,JAX 41,7.0,0.0,Travis Etienne right end for 4 yards (tackle by Will Anderson),1.4,1.22,3.0,2023,40
1.0,5:13,3.0,2.0,JAX 45,7.0,0.0,Travis Etienne up the middle for 1 yard (tackle by Jimmie Ward and Shaquill Griffin),1.22,-0.32,3.0,2023,40
1.0,4:30,4.0,1.0,JAX 46,7.0,0.0,"Logan Cooke punts 54 yards, touchback.",-0.32,-0.28,3.0,2023,40
