Quarter,Time,Tm,Detail,ATL,DET,week,year,game_id
1.0,1:46,Lions,Riley Patterson 37 yard field goal,0,3,3.0,2023,34
2.0,11:32,Falcons,Younghoe Koo 48 yard field goal,3,3,3.0,2023,34
,10:05,Lions,Sam LaPorta 45 yard pass from Jared Goff (Riley Patterson kick),3,10,3.0,2023,34
,1:53,Lions,Riley Patterson 24 yard field goal,3,13,3.0,2023,34
4.0,9:50,Lions,Jared Goff 3 yard rush (Riley Patterson kick),3,20,3.0,2023,34
,4:19,Falcons,Younghoe Koo 24 yard field goal,6,20,3.0,2023,34
