Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Browns to receive the opening kickoff.",,,3.0,2023,36
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 69 yards, returned by Pierre Strong for 26 yards (tackle by Luke Gifford and Monty Rice)",0.0,0.41,3.0,2023,36
1.0,14:54,1.0,10.0,CLE 22,0.0,0.0,Deshaun Watson pass complete short right to Donovan Peoples-Jones for 8 yards (tackle by Sean Murphy-Bunting),0.41,0.95,3.0,2023,36
1.0,14:11,2.0,2.0,CLE 30,0.0,0.0,Deshaun Watson sacked by Azeez Al-Shaair for -2 yards,0.95,-0.03,3.0,2023,36
1.0,13:39,3.0,4.0,CLE 28,0.0,0.0,Deshaun Watson pass complete short left to Elijah Moore for 10 yards (tackle by Amani Hooker),-0.03,1.47,3.0,2023,36
1.0,13:02,1.0,10.0,CLE 38,0.0,0.0,Elijah Moore left end for 2 yards (tackle by Amani Hooker),1.47,1.19,3.0,2023,36
1.0,12:27,2.0,8.0,CLE 40,0.0,0.0,Deshaun Watson pass complete short right to David Njoku for 2 yards (tackle by Jack Gibbens),1.19,0.76,3.0,2023,36
1.0,11:47,3.0,6.0,CLE 42,0.0,0.0,Deshaun Watson pass complete short right to Elijah Moore for 7 yards (tackle by Roger McCreary),0.76,2.19,3.0,2023,36
1.0,11:12,1.0,10.0,CLE 49,0.0,0.0,Kareem Hunt right guard for 1 yard (tackle by Jeffery Simmons),2.19,1.78,3.0,2023,36
1.0,10:41,2.0,9.0,CLE 50,0.0,0.0,Deshaun Watson pass complete short right to Elijah Moore for 14 yards (tackle by Jeffery Simmons),1.78,3.18,3.0,2023,36
1.0,9:56,1.0,10.0,TEN 36,0.0,0.0,Pierre Strong left tackle for 5 yards (tackle by Arden Key and Jack Gibbens),3.18,3.31,3.0,2023,36
1.0,9:18,2.0,5.0,TEN 31,0.0,0.0,Marquise Goodwin left end for 1 yard (tackle by Kristian Fulton),3.31,2.74,3.0,2023,36
1.0,8:35,3.0,4.0,TEN 30,0.0,0.0,Deshaun Watson left end for no gain (tackle by Kristian Fulton and Elijah Molden),2.74,1.46,3.0,2023,36
1.0,7:54,4.0,4.0,TEN 30,0.0,3.0,Dustin Hopkins 48 yard field goal good,1.46,3.0,3.0,2023,36
1.0,7:49,,,CLE 35,0.0,3.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,36
1.0,7:49,1.0,10.0,TEN 25,0.0,3.0,Ryan Tannehill pass complete short right to Treylon Burks for 5 yards (tackle by Denzel Ward),0.61,0.74,3.0,2023,36
1.0,7:10,2.0,5.0,TEN 30,0.0,3.0,Derrick Henry right guard for 2 yards (tackle by Grant Delpit),0.74,0.3,3.0,2023,36
1.0,6:29,3.0,3.0,TEN 32,0.0,3.0,Ryan Tannehill pass incomplete short left intended for DeAndre Hopkins,0.3,-1.24,3.0,2023,36
1.0,6:24,4.0,3.0,TEN 32,0.0,3.0,Ryan Stonehouse punts 49 yards out of bounds,-1.24,-0.15,3.0,2023,36
1.0,6:18,1.0,10.0,CLE 19,0.0,3.0,Deshaun Watson pass complete short right to Amari Cooper for 7 yards (tackle by Roger McCreary),0.15,0.61,3.0,2023,36
1.0,5:46,2.0,3.0,CLE 26,0.0,3.0,Jerome Ford left guard for no gain (tackle by Azeez Al-Shaair and Roger McCreary),0.61,-0.16,3.0,2023,36
1.0,5:11,3.0,3.0,CLE 26,0.0,3.0,Deshaun Watson pass incomplete short middle intended for Jerome Ford,-0.16,-1.63,3.0,2023,36
1.0,5:05,4.0,3.0,CLE 26,0.0,3.0,"Corey Bojorquez punts 48 yards, returned by Mason Kinsey for 13 yards (tackle by Anthony Walker)",-1.63,-1.53,3.0,2023,36
1.0,4:55,1.0,10.0,TEN 39,0.0,3.0,Ryan Tannehill pass incomplete short middle intended for Treylon Burks,1.53,0.99,3.0,2023,36
1.0,4:51,2.0,10.0,TEN 39,0.0,3.0,Ryan Tannehill pass complete short right to Tyjae Spears for -2 yards (tackle by Ogbonnia Okoronkwo),0.99,0.04,3.0,2023,36
1.0,4:10,3.0,12.0,TEN 37,0.0,3.0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Martin Emerson),0.04,-0.52,3.0,2023,36
1.0,3:35,4.0,6.0,TEN 43,0.0,3.0,Ryan Stonehouse punts 45 yards out of bounds,-0.52,0.35,3.0,2023,36
1.0,3:30,1.0,10.0,CLE 12,0.0,3.0,Elijah Moore right end for 1 yard (tackle by Sean Murphy-Bunting),-0.35,-0.7,3.0,2023,36
1.0,2:50,2.0,9.0,CLE 13,0.0,3.0,Deshaun Watson pass complete short left to Amari Cooper for 13 yards (tackle by Kristian Fulton and Roger McCreary),-0.7,0.67,3.0,2023,36
1.0,2:09,1.0,10.0,CLE 26,0.0,3.0,Deshaun Watson pass complete short right to Elijah Moore for 2 yards (tackle by Sean Murphy-Bunting),0.67,0.4,3.0,2023,36
1.0,1:31,2.0,8.0,CLE 28,0.0,3.0,"Deshaun Watson pass complete short right to Elijah Moore for no gain. Elijah Moore fumbles (forced by Sean Murphy-Bunting), recovered by Sean Murphy-Bunting at CLE-22 and returned for 5 yards (tackle by Wyatt Teller)",0.4,-4.44,3.0,2023,36
1.0,1:20,1.0,10.0,CLE 17,0.0,3.0,Derrick Henry right guard for -3 yards (tackle by Myles Garrett),4.44,3.49,3.0,2023,36
1.0,0:30,2.0,13.0,CLE 20,0.0,3.0,"Ryan Tannehill sacked by Myles Garrett for -4 yards. Ryan Tannehill fumbles (forced by Myles Garrett), recovered by Derrick Henry at CLE-24",3.49,2.28,3.0,2023,36
2.0,15:00,3.0,17.0,CLE 24,0.0,3.0,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for -2 yards (tackle by Denzel Ward),2.28,1.74,3.0,2023,36
2.0,14:16,4.0,19.0,CLE 26,3.0,3.0,Nick Folk 44 yard field goal good,1.74,3.0,3.0,2023,36
2.0,14:14,,,TEN 35,3.0,3.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,36
2.0,14:14,1.0,10.0,CLE 25,3.0,3.0,Deshaun Watson pass complete short left to David Njoku for 7 yards (tackle by Amani Hooker),0.61,1.01,3.0,2023,36
2.0,13:39,2.0,3.0,CLE 32,3.0,3.0,Kareem Hunt right guard for 4 yards (tackle by Azeez Al-Shaair and Jack Gibbens),1.01,1.33,3.0,2023,36
2.0,12:57,1.0,10.0,CLE 36,3.0,3.0,Deshaun Watson pass complete short right to Amari Cooper for 5 yards (tackle by Sean Murphy-Bunting),1.33,1.47,3.0,2023,36
2.0,12:18,2.0,5.0,CLE 41,3.0,3.0,Deshaun Watson pass incomplete deep left,1.47,0.76,3.0,2023,36
2.0,12:08,3.0,5.0,CLE 41,3.0,3.0,"Deshaun Watson pass incomplete short right intended for Amari Cooper. Penalty on Sean Murphy-Bunting: Defensive Pass Interference, 8 yards (accepted) (no play)",0.76,2.19,3.0,2023,36
