Unnamed: 0,DEN,MIA,week,year,game_id
First Downs,16,30,3.0,2023,38
Rush-Yds-TDs,20-69-0,43-350-5,3.0,2023,38
Cmp-Att-Yd-TD-INT,23-38-306-1-1,25-28-376-5-0,3.0,2023,38
Sacked-Yards,1-12,0-0,3.0,2023,38
Net Pass Yards,294,376,3.0,2023,38
Total Yards,363,726,3.0,2023,38
Fumbles-Lost,3-2,0-0,3.0,2023,38
Turnovers,3,0,3.0,2023,38
Penalties-Yards,7-46,6-55,3.0,2023,38
Third Down Conv.,3-12,5-9,3.0,2023,38
Fourth Down Conv.,0-1,1-3,3.0,2023,38
Time of Possession,26:39,33:21,3.0,2023,38
