Unnamed: 0,BUF,WAS,week,year,game_id
First Downs,20,15,3.0,2023,35
Rush-Yds-TDs,33-168-2,13-105-0,3.0,2023,35
Cmp-Att-Yd-TD-INT,20-32-218-1-1,19-29-170-0-4,3.0,2023,35
Sacked-Yards,0-0,9-45,3.0,2023,35
Net Pass Yards,218,125,3.0,2023,35
Total Yards,386,230,3.0,2023,35
Fumbles-Lost,0-0,1-1,3.0,2023,35
Turnovers,1,5,3.0,2023,35
Penalties-Yards,6-45,2-15,3.0,2023,35
Third Down Conv.,9-15,1-9,3.0,2023,35
Fourth Down Conv.,0-1,0-1,3.0,2023,35
Time of Possession,34:39,25:21,3.0,2023,35
