Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jalen Hurts,PHI,0,0,0,0,0,3.0,2023,47
D'Andre Swift,PHI,2,1,8,0,8,3.0,2023,47
Kenneth Gainwell,PHI,2,1,5,0,5,3.0,2023,47
A.J. Brown,PHI,14,9,131,0,28,3.0,2023,47
Olamide Zaccheaus,PHI,3,2,58,1,34,3.0,2023,47
Dallas Goedert,PHI,7,5,41,0,13,3.0,2023,47
DeVonta Smith,PHI,5,4,28,0,15,3.0,2023,47
Jack Stoll,PHI,2,1,6,0,6,3.0,2023,47
Baker Mayfield,TAM,0,0,0,0,0,3.0,2023,47
Rachaad White,TAM,3,3,24,0,16,3.0,2023,47
Sean Tucker,TAM,0,0,0,0,0,3.0,2023,47
Mike Evans,TAM,10,5,60,1,24,3.0,2023,47
Chris Godwin,TAM,5,3,32,0,18,3.0,2023,47
Cade Otton,TAM,2,1,16,0,16,3.0,2023,47
Trey Palmer,TAM,1,1,8,0,8,3.0,2023,47
Deven Thompkins,TAM,4,2,6,0,5,3.0,2023,47
