Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,3.0,2023,44
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Isiah Pacheco up the middle for 2 yards (tackle by Yannick Ngakoue and T.J. Edwards),0.61,0.33,3.0,2023,44
1.0,14:28,2.0,8.0,KAN 27,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Justyn Ross (defended by Jaylon Johnson),0.33,-0.36,3.0,2023,44
1.0,14:22,3.0,8.0,KAN 27,0.0,0.0,"Patrick Mahomes pass complete short right to Travis Kelce for 10 yards (tackle by Greg Stroman). Penalty on Tyrique Stevenson: Illegal Contact, 5 yards (declined)",-0.36,1.4,3.0,2023,44
1.0,13:54,1.0,10.0,KAN 37,0.0,0.0,Patrick Mahomes pass complete short left to Kadarius Toney for -1 yards (tackle by Jaylon Johnson),1.4,0.72,3.0,2023,44
1.0,13:18,2.0,11.0,KAN 36,0.0,0.0,Isiah Pacheco left end for 6 yards (tackle by Tremaine Edmunds),0.72,0.83,3.0,2023,44
1.0,12:39,3.0,5.0,KAN 42,0.0,0.0,Patrick Mahomes pass incomplete short middle intended for Rashee Rice,0.83,-0.59,3.0,2023,44
1.0,12:34,4.0,5.0,KAN 42,0.0,0.0,Tommy Townsend punts 55 yards out of bounds,-0.59,0.38,3.0,2023,44
1.0,12:25,1.0,10.0,CHI 3,0.0,0.0,Justin Fields pass complete short right to Chase Claypool for 15 yards,-0.38,0.04,3.0,2023,44
1.0,11:50,1.0,10.0,CHI 18,0.0,0.0,Roschon Johnson up the middle for 5 yards (tackle by Drue Tranquill and Willie Gay),0.04,0.28,3.0,2023,44
1.0,11:11,2.0,5.0,CHI 23,0.0,0.0,Khalil Herbert right guard for 1 yard (tackle by Trent McDuffie and Drue Tranquill),0.28,-0.4,3.0,2023,44
1.0,10:28,3.0,4.0,CHI 24,0.0,0.0,Justin Fields sacked by and Drue Tranquill for no gain and George Karlaftis for no gain,-0.4,-1.77,3.0,2023,44
1.0,9:50,4.0,4.0,CHI 24,0.0,0.0,"Trenton Gill punts 58 yards, returned by Montrell Washington for 23 yards (tackle by Jack Sanborn and T.J. Edwards)",-1.77,-1.66,3.0,2023,44
1.0,9:36,1.0,10.0,KAN 41,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 24 yards (tackle by Jaquan Brisker),1.66,3.25,3.0,2023,44
1.0,8:54,1.0,10.0,CHI 35,0.0,0.0,Patrick Mahomes pass complete deep middle to Skyy Moore for 21 yards (tackle by Tremaine Edmunds),3.25,4.65,3.0,2023,44
