Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,3.0,2023,45
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,Joshua Dobbs pass complete short left to Trey McBride for 2 yards (tackle by Donovan Wilson),0.61,0.33,3.0,2023,45
1.0,14:36,2.0,8.0,ARI 27,0.0,0.0,Joshua Dobbs scrambles left end for 44 yards (tackle by DaRon Bland),0.33,3.64,3.0,2023,45
1.0,13:46,1.0,10.0,DAL 29,0.0,0.0,James Conner right tackle for 7 yards (tackle by Damone Clark),3.64,4.05,3.0,2023,45
1.0,13:19,2.0,3.0,DAL 22,0.0,0.0,Joshua Dobbs pass incomplete short left intended for Rondale Moore,4.05,3.34,3.0,2023,45
1.0,13:16,3.0,3.0,DAL 22,0.0,0.0,Joshua Dobbs pass complete short left to Zach Ertz for 1 yard (tackle by Jayron Kearse),3.34,2.18,3.0,2023,45
1.0,12:35,4.0,2.0,DAL 21,0.0,3.0,Matt Prater 39 yard field goal good,2.18,3.0,3.0,2023,45
1.0,12:31,,,ARI 35,0.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
1.0,12:31,1.0,10.0,DAL 25,0.0,3.0,Tony Pollard up the middle for 2 yards (tackle by Victor Dimukeje),0.61,0.33,3.0,2023,45
1.0,12:04,2.0,8.0,DAL 27,0.0,3.0,Tony Pollard up the middle for 2 yards (tackle by Jonathan Ledbetter),0.33,-0.1,3.0,2023,45
1.0,11:34,3.0,6.0,DAL 29,0.0,3.0,"Penalty on Terence Steele: False Start, 5 yards (accepted) (no play)",-0.1,-0.76,3.0,2023,45
1.0,11:07,3.0,11.0,DAL 24,0.0,3.0,"Penalty on DAL: Delay of Game, 5 yards (accepted) (no play)",-0.76,-1.51,3.0,2023,45
1.0,10:50,3.0,16.0,DAL 19,0.0,3.0,Dak Prescott pass complete short right to Rico Dowdle for 1 yard (tackle by Krys Barnes),-1.51,-2.03,3.0,2023,45
1.0,10:16,4.0,15.0,DAL 20,0.0,3.0,"Bryan Anger punts 52 yards, returned by Greg Dortch for no gain (tackle by Damone Clark). Penalty on Christian Matthew: Illegal Block Above the Waist, 10 yards (accepted)",-2.03,-0.04,3.0,2023,45
