Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Dak Prescott,DAL,0,0,0,0,0,3.0,2023,45
Tony Pollard,DAL,3,3,-1,0,2,3.0,2023,45
Rico Dowdle,DAL,3,3,25,1,15,3.0,2023,45
CeeDee Lamb,DAL,7,4,53,0,32,3.0,2023,45
Hunter Luepke,DAL,1,1,12,0,12,3.0,2023,45
Michael Gallup,DAL,7,6,92,0,27,3.0,2023,45
Jake Ferguson,DAL,7,5,48,0,12,3.0,2023,45
Brandin Cooks,DAL,7,2,17,0,12,3.0,2023,45
Peyton Hendershot,DAL,1,1,3,0,3,3.0,2023,45
Luke Schoonmaker,DAL,1,0,0,0,0,3.0,2023,45
Joshua Dobbs,ARI,0,0,0,0,0,3.0,2023,45
James Conner,ARI,2,2,18,0,10,3.0,2023,45
Rondale Moore,ARI,6,4,8,0,8,3.0,2023,45
Keaontay Ingram,ARI,1,1,8,0,8,3.0,2023,45
Emari Demercado,ARI,0,0,0,0,0,3.0,2023,45
Michael Wilson,ARI,2,2,86,0,69,3.0,2023,45
Marquise Brown,ARI,7,5,61,1,23,3.0,2023,45
Zach Ertz,ARI,2,2,6,0,5,3.0,2023,45
Trey McBride,ARI,1,1,2,0,2,3.0,2023,45
