Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,,3.0,2023,48
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,48
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Burrow pass incomplete deep right,0.61,0.06,3.0,2023,48
1.0,14:54,2.0,10.0,CIN 25,0.0,0.0,Joe Burrow pass complete short left to Tyler Boyd for 9 yards (tackle by Cobie Durant),0.06,0.56,3.0,2023,48
1.0,14:19,3.0,1.0,CIN 34,0.0,0.0,Joe Burrow pass complete short middle to Tyler Boyd for 12 yards (tackle by Ernest Jones and Russ Yeast),0.56,1.99,3.0,2023,48
1.0,13:33,1.0,10.0,CIN 46,0.0,0.0,Joe Mixon up the middle for 4 yards (tackle by Derion Kendrick and Ernest Jones),1.99,1.99,3.0,2023,48
1.0,12:57,2.0,6.0,LAR 50,0.0,0.0,Joe Burrow pass complete short left to Charlie Jones for 6 yards (tackle by Derion Kendrick),1.99,2.65,3.0,2023,48
1.0,12:13,1.0,10.0,LAR 44,0.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,2.65,2.11,3.0,2023,48
1.0,12:08,2.0,10.0,LAR 44,0.0,0.0,Joe Mixon left tackle for 6 yards (tackle by Aaron Donald),2.11,2.21,3.0,2023,48
1.0,11:36,3.0,4.0,LAR 38,0.0,0.0,Joe Burrow pass incomplete short middle intended for Tanner Hudson,2.21,0.79,3.0,2023,48
1.0,11:31,4.0,3.0,LAR 37,0.0,0.0,Evan McPherson 56 yard field goal no good,0.79,-1.99,3.0,2023,48
1.0,11:26,1.0,10.0,LAR 46,0.0,0.0,Matthew Stafford pass complete short middle to Tyler Higbee for 12 yards (tackle by Cam Taylor-Britt),1.99,2.79,3.0,2023,48
1.0,10:55,1.0,10.0,CIN 42,0.0,0.0,Kyren Williams left guard for 6 yards (tackle by B.J. Hill),2.79,3.05,3.0,2023,48
1.0,10:16,2.0,4.0,CIN 36,0.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 12 yards (tackle by Cam Taylor-Britt and Germaine Pratt),3.05,3.97,3.0,2023,48
1.0,9:32,1.0,10.0,CIN 24,0.0,0.0,"Tutu Atwell right end for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Tutu Atwell right end for 22 yards (tackle by Nick Scott)",3.97,6.74,3.0,2023,48
1.0,9:12,1.0,2.0,CIN 2,0.0,0.0,Matthew Stafford sacked by D.J. Reader for -9 yards,6.74,4.02,3.0,2023,48
1.0,8:34,2.0,11.0,CIN 11,0.0,0.0,Matthew Stafford pass incomplete short right intended for Kyren Williams,4.02,3.12,3.0,2023,48
1.0,8:31,3.0,11.0,CIN 11,0.0,0.0,Matthew Stafford pass incomplete short middle intended for Kyren Williams,3.12,2.7,3.0,2023,48
1.0,8:26,4.0,11.0,CIN 11,3.0,0.0,Brett Maher 30 yard field goal good,2.7,3.0,3.0,2023,48
1.0,8:22,,,LAR 35,3.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,48
1.0,8:22,1.0,10.0,CIN 25,3.0,0.0,Joe Mixon left tackle for 2 yards (tackle by Byron Young),0.61,0.33,3.0,2023,48
1.0,7:44,2.0,8.0,CIN 27,3.0,0.0,Joe Burrow pass complete short left to Mitchell Wilcox for 7 yards (tackle by Russ Yeast),0.33,0.56,3.0,2023,48
1.0,7:23,3.0,1.0,CIN 34,3.0,0.0,"Penalty on Joe Mixon: False Start, 5 yards (accepted) (no play)",0.56,-0.1,3.0,2023,48
1.0,6:59,3.0,6.0,CIN 29,3.0,0.0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",-0.1,-0.76,3.0,2023,48
1.0,6:37,3.0,11.0,CIN 24,3.0,0.0,Joe Burrow pass complete short right to Tyler Boyd for 4 yards (tackle by Quentin Lake),-0.76,-1.5,3.0,2023,48
1.0,6:02,4.0,7.0,CIN 28,3.0,0.0,"Brad Robbins punts 46 yards, fair catch by Kyren Williams at LA-26",-1.5,-0.67,3.0,2023,48
1.0,5:55,1.0,10.0,LAR 26,3.0,0.0,Kyren Williams right tackle for 1 yard (tackle by Germaine Pratt),0.67,0.27,3.0,2023,48
1.0,5:14,2.0,9.0,LAR 27,3.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 8 yards (tackle by Logan Wilson and Sam Hubbard),0.27,0.63,3.0,2023,48
1.0,4:38,3.0,1.0,LAR 35,3.0,0.0,Matthew Stafford pass incomplete short left intended for Kyren Williams,0.63,-1.04,3.0,2023,48
1.0,4:32,4.0,1.0,LAR 35,3.0,0.0,"Ethan Evans punts 51 yards, returned by Charlie Jones for 7 yards (tackle by Tre'Vius Tomlinson and Michael Hoecht)",-1.04,-0.34,3.0,2023,48
1.0,4:22,1.0,10.0,CIN 21,3.0,0.0,Joe Burrow pass complete short left to Tanner Hudson for 4 yards (tackle by Russ Yeast),0.34,0.34,3.0,2023,48
