Quarter,Time,Tm,Detail,CAR,SEA,week,year,game_id
1.0,7:47,Panthers,Eddy Piñeiro 47 yard field goal,3,0,3.0,2023,43
,3:33,Seahawks,Jason Myers 43 yard field goal,3,3,3.0,2023,43
2.0,12:07,Seahawks,Jason Myers 35 yard field goal,3,6,3.0,2023,43
,8:45,Seahawks,Jason Myers 33 yard field goal,3,9,3.0,2023,43
,4:54,Panthers,DJ Chark 47 yard pass from Andy Dalton (Eddy Piñeiro kick),10,9,3.0,2023,43
,2:39,Panthers,Eddy Piñeiro 44 yard field goal,13,9,3.0,2023,43
,0:44,Seahawks,Jason Myers 37 yard field goal,13,12,3.0,2023,43
3.0,9:45,Seahawks,Jason Myers 39 yard field goal,13,15,3.0,2023,43
,3:52,Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),13,22,3.0,2023,43
4.0,14:55,Panthers,Miles Sanders 1 yard rush (Eddy Piñeiro kick),20,22,3.0,2023,43
,11:40,Seahawks,Kenneth Walker III 7 yard rush (Jason Myers kick),20,29,3.0,2023,43
,4:17,Seahawks,Jake Bobo 5 yard pass from Geno Smith (Tyler Lockett pass from Geno Smith),20,37,3.0,2023,43
,1:40,Panthers,Adam Thielen 15 yard pass from Andy Dalton (Eddy Piñeiro kick),27,37,3.0,2023,43
