Quarter,Time,Tm,Detail,PIT,LVR,week,year,game_id
1.0,7:04,Raiders,Davante Adams 32 yard pass from Jimmy Garoppolo (Daniel Carlson kick),0,7,3.0,2023,46
,6:12,Steelers,Calvin Austin III 72 yard pass from Kenny Pickett (Chris Boswell kick),7,7,3.0,2023,46
2.0,8:33,Steelers,Chris Boswell 43 yard field goal,10,7,3.0,2023,46
,1:56,Steelers,Chris Boswell 42 yard field goal,13,7,3.0,2023,46
3.0,9:28,Steelers,Chris Boswell 57 yard field goal,16,7,3.0,2023,46
,3:56,Steelers,Pat Freiermuth 13 yard pass from Kenny Pickett (Chris Boswell kick),23,7,3.0,2023,46
4.0,5:41,Raiders,Davante Adams 1 yard pass from Jimmy Garoppolo (Michael Mayer pass from Jimmy Garoppolo),23,15,3.0,2023,46
,2:22,Raiders,Daniel Carlson 26 yard field goal,23,18,3.0,2023,46
