Quarter,Time,Tm,Detail,NWE,NYJ,week,year,game_id
1.0,10:41,Patriots,Chad Ryland 48 yard field goal,3,0,3.0,2023,42
2.0,11:38,Patriots,Pharaoh Brown 58 yard pass from Mac Jones (Chad Ryland kick),10,0,3.0,2023,42
,1:21,Jets,Greg Zuerlein 52 yard field goal,10,3,3.0,2023,42
3.0,10:26,Patriots,Chad Ryland 51 yard field goal,13,3,3.0,2023,42
4.0,5:24,Jets,Nick Bawden 1 yard rush (Greg Zuerlein kick),13,10,3.0,2023,42
,2:19,Patriots,"Safety, Zach Wilson sacked in end zone by Matthew Judon",15,10,3.0,2023,42
