Unnamed: 0,LAR,CIN,week,year,game_id
First Downs,15,19,3.0,2023,48
Rush-Yds-TDs,13-71-0,23-67-1,3.0,2023,48
Cmp-Att-Yd-TD-INT,18-33-269-1-2,26-49-259-0-1,3.0,2023,48
Sacked-Yards,6-48,2-17,3.0,2023,48
Net Pass Yards,221,242,3.0,2023,48
Total Yards,292,309,3.0,2023,48
Fumbles-Lost,0-0,0-0,3.0,2023,48
Turnovers,2,1,3.0,2023,48
Penalties-Yards,4-28,7-49,3.0,2023,48
Third Down Conv.,1-11,5-17,3.0,2023,48
Fourth Down Conv.,1-1,1-1,3.0,2023,48
Time of Possession,24:00,36:00,3.0,2023,48
