#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,12:56,LVR 12,3,1:29,7,Punt,1,Raiders,3.0,2023,46
2,1,10:27,LVR 26,7,3:23,74,Touchdown,1,Raiders,3.0,2023,46
3,1,6:12,LVR 25,3,1:43,5,Punt,1,Raiders,3.0,2023,46
4,1,0:49,LVR 14,8,3:25,43,Interception,1,Raiders,3.0,2023,46
5,2,8:33,LVR 25,3,1:29,7,Punt,1,Raiders,3.0,2023,46
6,2,1:56,LVR 25,5,1:18,15,Punt,1,Raiders,3.0,2023,46
7,3,15:00,LVR 25,3,1:03,7,Punt,1,Raiders,3.0,2023,46
8,3,9:28,LVR 25,5,2:13,27,Interception,1,Raiders,3.0,2023,46
9,3,3:56,LVR 25,10,5:43,53,Downs,1,Raiders,3.0,2023,46
10,4,11:32,LVR 20,11,5:51,80,Touchdown,1,Raiders,3.0,2023,46
11,4,4:35,LVR 48,9,2:13,44,Field Goal,1,Raiders,3.0,2023,46
12,4,0:12,LVR 15,1,0:07,0,Interception,1,Raiders,3.0,2023,46
