Unnamed: 0,CAR,SEA,week,year,game_id
First Downs,23,27,3.0,2023,43
Rush-Yds-TDs,14-44-1,33-146-2,3.0,2023,43
Cmp-Att-Yd-TD-INT,34-58-361-2-0,23-36-296-1-1,3.0,2023,43
Sacked-Yards,3-27,2-17,3.0,2023,43
Net Pass Yards,334,279,3.0,2023,43
Total Yards,378,425,3.0,2023,43
Fumbles-Lost,0-0,0-0,3.0,2023,43
Turnovers,0,1,3.0,2023,43
Penalties-Yards,13-82,8-82,3.0,2023,43
Third Down Conv.,10-19,3-13,3.0,2023,43
Fourth Down Conv.,0-1,1-1,3.0,2023,43
Time of Possession,29:32,30:28,3.0,2023,43
