Unnamed: 0,NYG,SFO,week,year,game_id
First Downs,10,26,3.0,2023,33
Rush-Yds-TDs,11-29-1,39-141-1,3.0,2023,33
Cmp-Att-Yd-TD-INT,22-33-137-0-1,25-37-310-2-0,3.0,2023,33
Sacked-Yards,2-16,2-10,3.0,2023,33
Net Pass Yards,121,300,3.0,2023,33
Total Yards,150,441,3.0,2023,33
Fumbles-Lost,0-0,1-0,3.0,2023,33
Turnovers,1,0,3.0,2023,33
Penalties-Yards,6-37,6-71,3.0,2023,33
Third Down Conv.,3-12,9-16,3.0,2023,33
Fourth Down Conv.,0-0,0-0,3.0,2023,33
Time of Possession,20:50,39:10,3.0,2023,33
