Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Falcons to receive the opening kickoff.",,,3.0,2023,34
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 54 yards, returned by Mike Hughes for 10 yards (tackle by Jalen Reeves-Maybin)",0.0,0.34,3.0,2023,34
1.0,14:58,1.0,10.0,ATL 21,0.0,0.0,Desmond Ridder pass complete short left to Bijan Robinson for 7 yards (tackle by Alex Anzalone and Jack Campbell),0.34,0.75,3.0,2023,34
1.0,14:13,2.0,3.0,ATL 28,0.0,0.0,Desmond Ridder pass incomplete short right intended for Mack Hollins (defended by Aidan Hutchinson),0.75,0.04,3.0,2023,34
1.0,14:07,3.0,3.0,ATL 28,0.0,0.0,Desmond Ridder pass complete short left to Tyler Allgeier for 1 yard (tackle by Alex Anzalone),0.04,-1.44,3.0,2023,34
1.0,13:32,4.0,2.0,ATL 29,0.0,0.0,"Bradley Pinion punts 57 yards, fair catch by Kalif Raymond at DET-14",-1.44,0.28,3.0,2023,34
1.0,13:23,1.0,10.0,DET 14,0.0,0.0,Jared Goff pass incomplete short left,-0.28,-0.75,3.0,2023,34
1.0,13:19,2.0,10.0,DET 14,0.0,0.0,Jahmyr Gibbs right tackle for no gain (tackle by Troy Andersen and Calais Campbell),-0.75,-1.4,3.0,2023,34
1.0,12:46,3.0,10.0,DET 14,0.0,0.0,Jared Goff pass complete short left to Sam LaPorta for 4 yards (tackle by AJ Terrell and Troy Andersen),-1.4,-2.24,3.0,2023,34
1.0,12:06,4.0,6.0,DET 18,0.0,0.0,"Jack Fox punts 62 yards, returned by Mike Hughes for 2 yards (tackle by Craig Reynolds and Jalen Reeves-Maybin). Penalty on DeAundre Alford: Offensive Holding, 10 yards (accepted)",-2.24,0.35,3.0,2023,34
1.0,11:50,1.0,10.0,ATL 12,0.0,0.0,Tyler Allgeier left end for 3 yards (tackle by Romeo Okwara and Isaiah Buggs),-0.35,-0.5,3.0,2023,34
1.0,11:14,,,,,,Timeout #1 by Atlanta Falcons,,,3.0,2023,34
1.0,11:14,2.0,7.0,ATL 15,0.0,0.0,Desmond Ridder pass incomplete deep left intended for Kyle Pitts,-0.5,-1.07,3.0,2023,34
1.0,11:07,3.0,7.0,ATL 15,0.0,0.0,Desmond Ridder pass complete deep left to Drake London for 28 yards (tackle by Cameron Sutton),-1.07,1.8,3.0,2023,34
1.0,10:26,1.0,10.0,ATL 43,0.0,0.0,Desmond Ridder left end for 2 yards (tackle by Alex Anzalone),1.8,1.52,3.0,2023,34
1.0,9:51,2.0,8.0,ATL 45,0.0,0.0,Desmond Ridder sacked by Benito Jones for -8 yards,1.52,-0.23,3.0,2023,34
1.0,9:07,3.0,16.0,ATL 37,0.0,0.0,Desmond Ridder sacked by Derrick Barnes for -12 yards,-0.23,-1.7,3.0,2023,34
1.0,8:28,4.0,28.0,ATL 25,0.0,0.0,"Bradley Pinion punts 54 yards, returned by Kalif Raymond for 13 yards (tackle by John FitzPatrick)",-1.7,-1.2,3.0,2023,34
1.0,8:17,1.0,10.0,DET 34,0.0,0.0,Jared Goff pass complete short middle to Sam LaPorta for 11 yards (tackle by Jessie Bates),1.2,1.93,3.0,2023,34
1.0,7:45,1.0,10.0,DET 45,0.0,0.0,"Jahmyr Gibbs for no gain. Penalty on Matt Nelson: Chop Block, 15 yards (accepted) (no play)",1.93,0.94,3.0,2023,34
1.0,7:18,1.0,25.0,DET 30,0.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 15 yards (tackle by Jessie Bates and Richie Grant),0.94,1.38,3.0,2023,34
1.0,6:41,2.0,10.0,DET 45,0.0,0.0,Jared Goff pass complete short left to Sam LaPorta for 10 yards (tackle by Kaden Elliss and Troy Andersen),1.38,2.59,3.0,2023,34
1.0,6:11,1.0,10.0,ATL 45,0.0,0.0,Jahmyr Gibbs left tackle for 1 yard (tackle by Calais Campbell and Kaden Elliss),2.59,2.18,3.0,2023,34
1.0,5:36,2.0,9.0,ATL 44,0.0,0.0,Jared Goff pass complete short middle to Kalif Raymond for 11 yards (tackle by Jessie Bates),2.18,3.38,3.0,2023,34
1.0,4:52,1.0,10.0,ATL 33,0.0,0.0,Zonovan Knight left tackle for 2 yards (tackle by Timmy Horne and Ta'Quon Graham),3.38,3.11,3.0,2023,34
1.0,4:17,2.0,8.0,ATL 31,0.0,0.0,Jahmyr Gibbs up the middle for 9 yards (tackle by Richie Grant and Zach Harrison),3.11,4.11,3.0,2023,34
1.0,3:41,1.0,10.0,ATL 22,0.0,0.0,Jahmyr Gibbs right tackle for -1 yards (tackle by AJ Terrell and Zach Harrison),4.11,3.43,3.0,2023,34
1.0,3:04,2.0,11.0,ATL 23,0.0,0.0,Jared Goff pass complete short right to Sam LaPorta for -3 yards (tackle by Kaden Elliss and Ta'Quon Graham),3.43,2.35,3.0,2023,34
1.0,2:27,3.0,14.0,ATL 26,0.0,0.0,Jared Goff pass complete short right to Kalif Raymond for 8 yards (tackle by Jessie Bates),2.35,2.27,3.0,2023,34
1.0,1:50,4.0,6.0,ATL 18,0.0,3.0,Riley Patterson 37 yard field goal good,2.27,3.0,3.0,2023,34
1.0,1:46,,,DET 35,0.0,3.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,34
1.0,1:46,1.0,10.0,ATL 25,0.0,3.0,Bijan Robinson left end for 11 yards (tackle by Tracy Walker and Cameron Sutton),0.61,1.33,3.0,2023,34
1.0,1:07,1.0,10.0,ATL 36,0.0,3.0,Bijan Robinson up the middle for 2 yards (tackle by Romeo Okwara and Benito Jones),1.33,1.06,3.0,2023,34
1.0,0:23,2.0,8.0,ATL 38,0.0,3.0,Desmond Ridder pass complete short middle to Kyle Pitts for 10 yards (tackle by Brian Branch),1.06,2.13,3.0,2023,34
2.0,15:00,1.0,10.0,ATL 48,0.0,3.0,Bijan Robinson left end for -2 yards (tackle by Brian Branch),2.13,1.31,3.0,2023,34
2.0,14:21,2.0,12.0,ATL 46,0.0,3.0,Desmond Ridder pass complete short middle to Kyle Pitts for 16 yards (tackle by Tracy Walker),1.31,3.05,3.0,2023,34
2.0,13:42,1.0,10.0,DET 38,0.0,3.0,Desmond Ridder pass complete short left to Jonnu Smith for 12 yards (tackle by Jerry Jacobs),3.05,3.84,3.0,2023,34
2.0,13:05,1.0,10.0,DET 26,0.0,3.0,Tyler Allgeier left end for -1 yards (tackle by Charles Harris and Tracy Walker),3.84,3.16,3.0,2023,34
2.0,12:19,2.0,11.0,DET 27,0.0,3.0,Desmond Ridder pass complete short left to Jonnu Smith for -3 yards (tackle by Ifeatu Melifonwu),3.16,2.08,3.0,2023,34
2.0,11:39,3.0,14.0,DET 30,0.0,3.0,Desmond Ridder pass incomplete short middle intended for Drake London (defended by Brian Branch),2.08,1.41,3.0,2023,34
2.0,11:37,4.0,14.0,DET 30,3.0,3.0,Younghoe Koo 48 yard field goal good,1.41,3.0,3.0,2023,34
2.0,11:32,,,ATL 35,3.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,34
2.0,11:32,1.0,10.0,DET 25,3.0,3.0,Jared Goff pass incomplete deep left intended for Kalif Raymond,0.61,0.06,3.0,2023,34
2.0,11:25,2.0,10.0,DET 25,3.0,3.0,Jahmyr Gibbs up the middle for 2 yards (tackle by Timmy Horne and Richie Grant),0.06,-0.36,3.0,2023,34
2.0,10:45,3.0,8.0,DET 27,3.0,3.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 19 yards (tackle by Jessie Bates),-0.36,1.99,3.0,2023,34
2.0,10:38,1.0,10.0,DET 46,3.0,3.0,"Craig Reynolds right end for 4 yards (tackle by Grady Jarrett and Kaden Elliss). Penalty on Grady Jarrett: Defensive Holding, 5 yards (accepted)",1.99,2.59,3.0,2023,34
2.0,10:12,1.0,10.0,ATL 45,3.0,9.0,"Jared Goff pass complete deep middle to Sam LaPorta for 45 yards, touchdown",2.59,7.0,3.0,2023,34
2.0,10:05,,,ATL 15,3.0,10.0,Riley Patterson kicks extra point good,0.0,0.0,3.0,2023,34
2.0,10:05,,,DET 35,3.0,10.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,34
2.0,10:05,1.0,10.0,ATL 25,3.0,10.0,Desmond Ridder pass incomplete short right intended for Kyle Pitts (defended by Brian Branch),0.61,0.06,3.0,2023,34
2.0,9:59,2.0,10.0,ATL 25,3.0,10.0,Bijan Robinson left end for 1 yard (tackle by Jerry Jacobs),0.06,-0.49,3.0,2023,34
2.0,9:15,3.0,9.0,ATL 26,3.0,10.0,Desmond Ridder pass incomplete deep left intended for Kyle Pitts,-0.49,-1.63,3.0,2023,34
2.0,9:10,4.0,9.0,ATL 26,3.0,10.0,"Bradley Pinion punts 47 yards, fair catch by Kalif Raymond at DET-27",-1.63,-0.74,3.0,2023,34
2.0,9:02,1.0,10.0,DET 27,3.0,10.0,Jahmyr Gibbs left end for 7 yards (tackle by Kaden Elliss),0.74,1.14,3.0,2023,34
2.0,8:26,2.0,3.0,DET 34,3.0,10.0,Jared Goff pass complete short right to Amon-Ra St. Brown for no gain (tackle by DeAundre Alford and Zach Harrison),1.14,0.43,3.0,2023,34
2.0,7:50,3.0,3.0,DET 34,3.0,10.0,Jared Goff pass complete short middle to Kalif Raymond for 14 yards (tackle by Jaylinn Hawkins),0.43,2.13,3.0,2023,34
2.0,7:18,1.0,10.0,DET 48,3.0,10.0,Jared Goff pass complete short middle to Sam LaPorta for 3 yards (tackle by Kaden Elliss),2.13,1.99,3.0,2023,34
2.0,6:41,2.0,7.0,ATL 49,3.0,10.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 9 yards (tackle by Kaden Elliss),1.99,2.92,3.0,2023,34
2.0,6:03,1.0,10.0,ATL 40,3.0,10.0,Zonovan Knight right tackle for 8 yards (tackle by Jessie Bates and Kaden Elliss),2.92,3.45,3.0,2023,34
2.0,5:27,2.0,2.0,ATL 32,3.0,10.0,Jared Goff pass complete deep left to Kalif Raymond for 22 yards (tackle by Jessie Bates),3.45,4.91,3.0,2023,34
2.0,4:40,1.0,10.0,ATL 10,3.0,10.0,Jared Goff scrambles right end for 3 yards (tackle by Bud Dupree),4.91,4.76,3.0,2023,34
2.0,4:01,2.0,7.0,ATL 7,3.0,10.0,Jahmyr Gibbs right tackle for -1 yards (tackle by David Onyemata and Grady Jarrett),4.76,3.58,3.0,2023,34
2.0,3:21,3.0,8.0,ATL 8,3.0,10.0,"Jared Goff pass incomplete short middle. Penalty on Jessie Bates: Illegal Contact, 4 yards (accepted) (no play)",3.58,6.28,3.0,2023,34
2.0,3:17,,,,,,Timeout #1 by Detroit Lions,,,3.0,2023,34
2.0,3:17,1.0,4.0,ATL 4,3.0,10.0,Jahmyr Gibbs right tackle for no gain (tackle by Richie Grant and Jessie Bates),6.28,5.34,3.0,2023,34
