Unnamed: 0,PIT,LVR,week,year,game_id
First Downs,17,19,3.0,2023,46
Rush-Yds-TDs,31-105-0,19-69-0,3.0,2023,46
Cmp-Att-Yd-TD-INT,16-28-235-2-0,28-44-324-2-3,3.0,2023,46
Sacked-Yards,1-7,4-31,3.0,2023,46
Net Pass Yards,228,293,3.0,2023,46
Total Yards,333,362,3.0,2023,46
Fumbles-Lost,0-0,1-0,3.0,2023,46
Turnovers,0,3,3.0,2023,46
Penalties-Yards,6-45,7-60,3.0,2023,46
Third Down Conv.,6-15,4-13,3.0,2023,46
Fourth Down Conv.,0-0,1-2,3.0,2023,46
Time of Possession,30:03,29:57,3.0,2023,46
