Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Kenny Pickett,PIT,5,2,0,2,17.0,2022,255
Najee Harris,PIT,22,111,0,15,17.0,2022,255
Jaylen Warren,PIT,12,76,0,31,17.0,2022,255
Gunner Olszewski,PIT,1,6,0,6,17.0,2022,255
Derek Watt,PIT,1,3,0,3,17.0,2022,255
Pat Freiermuth,PIT,0,0,0,0,17.0,2022,255
Diontae Johnson,PIT,0,0,0,0,17.0,2022,255
Steven Sims,PIT,0,0,0,0,17.0,2022,255
George Pickens,PIT,0,0,0,0,17.0,2022,255
Tyler Huntley,BAL,7,24,0,10,17.0,2022,255
J.K. Dobbins,BAL,17,93,0,22,17.0,2022,255
Gus Edwards,BAL,3,2,0,2,17.0,2022,255
Andy Isabella,BAL,1,1,0,1,17.0,2022,255
Mark Andrews,BAL,0,0,0,0,17.0,2022,255
Isaiah Likely,BAL,0,0,0,0,17.0,2022,255
DeSean Jackson,BAL,0,0,0,0,17.0,2022,255
Demarcus Robinson,BAL,0,0,0,0,17.0,2022,255
Josh Oliver,BAL,0,0,0,0,17.0,2022,255
