Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Mitchell Trubisky,PIT,0,0,3.0,2022,33
Najee Harris,PIT,1,1,3.0,2022,33
Jaylen Warren,PIT,1,0,3.0,2022,33
Chase Claypool,PIT,0,0,3.0,2022,33
Diontae Johnson,PIT,0,0,3.0,2022,33
Pat Freiermuth,PIT,0,0,3.0,2022,33
George Pickens,PIT,0,0,3.0,2022,33
Jacoby Brissett,CLE,0,0,3.0,2022,33
Nick Chubb,CLE,0,0,3.0,2022,33
Kareem Hunt,CLE,0,0,3.0,2022,33
Amari Cooper,CLE,0,0,3.0,2022,33
David Njoku,CLE,0,0,3.0,2022,33
Donovan Peoples-Jones,CLE,0,0,3.0,2022,33
David Bell,CLE,0,0,3.0,2022,33
Miller Forristall,CLE,0,0,3.0,2022,33
