Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Lamar Jackson,BAL,0,0,0,0,0,3.0,2022,40
Justice Hill,BAL,0,0,0,0,0,3.0,2022,40
J.K. Dobbins,BAL,2,2,17,0,11,3.0,2022,40
Mark Andrews,BAL,13,8,89,2,25,3.0,2022,40
Rashod Bateman,BAL,4,2,59,0,35,3.0,2022,40
Patrick Ricard,BAL,1,1,12,0,12,3.0,2022,40
Josh Oliver,BAL,2,2,8,1,7,3.0,2022,40
Isaiah Likely,BAL,2,1,8,0,8,3.0,2022,40
Demarcus Robinson,BAL,1,0,0,0,0,3.0,2022,40
Devin Duvernay,BAL,2,2,25,1,21,3.0,2022,40
Mac Jones,NWE,0,0,0,0,0,3.0,2022,40
Rhamondre Stevenson,NWE,5,4,28,0,11,3.0,2022,40
Damien Harris,NWE,3,2,5,0,9,3.0,2022,40
DeVante Parker,NWE,10,5,156,0,40,3.0,2022,40
Kendrick Bourne,NWE,5,4,58,0,26,3.0,2022,40
Nelson Agholor,NWE,3,2,41,0,28,3.0,2022,40
Jonnu Smith,NWE,4,4,25,0,8,3.0,2022,40
Hunter Henry,NWE,1,1,8,0,8,3.0,2022,40
Lil'Jordan Humphrey,NWE,1,0,0,0,0,3.0,2022,40
