Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Jared Goff,DET,2,8,0,5,3.0,2022,39
Jamaal Williams,DET,20,87,2,15,3.0,2022,39
D'Andre Swift,DET,7,31,0,9,3.0,2022,39
Craig Reynolds,DET,6,13,0,5,3.0,2022,39
Josh Reynolds,DET,0,0,0,0,3.0,2022,39
Amon-Ra St. Brown,DET,0,0,0,0,3.0,2022,39
DJ Chark,DET,0,0,0,0,3.0,2022,39
T.J. Hockenson,DET,0,0,0,0,3.0,2022,39
Kalif Raymond,DET,0,0,0,0,3.0,2022,39
Kirk Cousins,MIN,1,-1,0,-1,3.0,2022,39
Dalvin Cook,MIN,17,96,1,13,3.0,2022,39
Alexander Mattison,MIN,7,28,1,9,3.0,2022,39
K.J. Osborn,MIN,0,0,0,0,3.0,2022,39
Adam Thielen,MIN,0,0,0,0,3.0,2022,39
Irv Smith Jr.,MIN,0,0,0,0,3.0,2022,39
Ben Ellefson,MIN,0,0,0,0,3.0,2022,39
Johnny Mundt,MIN,0,0,0,0,3.0,2022,39
C.J. Ham,MIN,0,0,0,0,3.0,2022,39
Justin Jefferson,MIN,0,0,0,0,3.0,2022,39
Jalen Reagor,MIN,0,0,0,0,3.0,2022,39
