Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Player_URL
Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,
Atlanta Falcons,1,27,42,289,288,6.9,109,4.0,2.6,189,7.0,
Buffalo Bills,1,33,46,389,400,8.7,246,7.5,5.3,148,4.5,
Carolina Panthers,1,18,35,142,269,7.7,94,5.2,2.7,60,3.3,
Chicago Bears,1,21,35,198,262,7.5,133,6.3,3.8,77,3.7,
Cincinnati Bengals,1,14,23,95,169,7.3,64,4.6,2.8,49,3.5,
Cleveland Browns,1,31,45,278,265,5.9,117,3.8,2.6,173,5.6,
Indianapolis Colts,1,22,29,262,196,6.8,160,7.3,5.5,112,5.1,
Arizona Cardinals,1,21,29,130,158,5.4,63,3.0,2.2,100,4.8,
Dallas Cowboys,1,21,34,188,331,9.7,113,5.4,3.3,75,3.6,
Denver Broncos,1,25,40,166,213,5.3,82,3.3,2.1,94,3.8,
Detroit Lions,1,31,39,200,163,4.2,104,3.4,2.7,121,3.9,
Green Bay Packers,1,16,22,188,253,11.5,149,9.3,6.8,39,2.4,
Houston Texans,1,19,27,151,154,5.7,115,6.1,4.3,73,3.8,
Jacksonville Jaguars,1,19,31,178,223,7.2,98,5.2,3.2,80,4.2,
Kansas City Chiefs,1,24,39,249,271,6.9,142,5.9,3.6,116,4.8,
Miami Dolphins,1,19,31,133,215,6.9,67,3.5,2.2,79,4.2,
Minnesota Vikings,1,13,20,134,137,6.9,75,5.8,3.8,68,5.2,
New Orleans Saints,1,27,46,208,336,7.3,129,4.8,2.8,85,3.1,
New England Patriots,1,30,46,276,362,7.9,173,5.8,3.8,114,3.8,
New York Giants,1,17,37,157,167,4.5,84,4.9,2.3,84,4.9,
New York Jets,1,16,22,212,169,7.7,142,8.9,6.5,76,4.8,
Tennessee Titans,1,12,28,62,294,10.5,48,4.0,1.7,64,5.3,
Philadelphia Eagles,1,19,23,144,113,4.9,91,4.8,4.0,61,3.2,
Pittsburgh Steelers,1,22,30,218,139,4.6,71,3.2,2.4,173,7.9,
Las Vegas Raiders,1,24,34,333,351,10.3,222,9.3,6.5,140,5.8,
Los Angeles Rams,1,21,29,224,234,8.1,177,8.4,6.1,68,3.2,
Baltimore Ravens,1,14,19,194,173,9.1,100,7.1,5.3,109,7.8,
Los Angeles Chargers,1,25,34,304,342,10.1,184,7.4,5.4,134,5.4,
Seattle Seahawks,1,16,23,146,197,8.6,103,6.4,4.5,47,2.9,
San Francisco 49ers,1,26,35,265,260,7.4,156,6.0,4.5,121,4.7,
Tampa Bay Buccaneers,1,17,32,159,327,10.2,122,7.2,3.8,45,2.6,
Washington Commanders,1,19,30,212,279,9.3,136,7.2,4.5,97,5.1,
