Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 22_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Marquise Brown,28.0,KAN,WR,1.0,1.0,16.0,10.0,99.0,4.0,60.0,6.0,39.0,3.9,6.3,0.0,,0.0,0.0,0.0,79.9,
2.0,Jahmyr Gibbs,23.0,DET,RB,1.0,1.0,10.0,10.0,31.0,1.0,0.0,0.0,31.0,3.1,0.0,0.0,,0.0,0.0,0.0,79.6,
3.0,Puka Nacua,24.0,LAR,WR,1.0,1.0,11.0,10.0,130.0,7.0,87.0,8.7,43.0,4.3,8.9,0.0,,0.0,0.0,0.0,115.9,
4.0,Christian McCaffrey,29.0,SFO,RB,1.0,1.0,10.0,9.0,73.0,3.0,11.0,1.2,62.0,6.9,2.0,0.0,,0.0,0.0,0.0,97.1,
5.0,Jaxon Smith-Njigba,23.0,SEA,WR,1.0,1.0,13.0,9.0,124.0,6.0,95.0,10.6,29.0,3.2,13.7,0.0,,0.0,0.0,0.0,99.5,
6.0,Keon Coleman,22.0,BUF,WR,1.0,1.0,11.0,8.0,112.0,6.0,96.0,12.0,16.0,2.0,12.0,0.0,,1.0,9.1,0.0,135.4,
7.0,Juwan Johnson,29.0,NOR,TE,1.0,1.0,11.0,8.0,76.0,4.0,47.0,5.9,29.0,3.6,8.1,0.0,,0.0,0.0,0.0,91.5,
8.0,Drake London,24.0,ATL,WR,1.0,1.0,15.0,8.0,55.0,2.0,38.0,4.8,17.0,2.1,6.6,0.0,,0.0,0.0,0.0,61.8,
9.0,Jakobi Meyers,29.0,LVR,WR,1.0,1.0,10.0,8.0,97.0,5.0,56.0,7.0,41.0,5.1,8.1,0.0,,0.0,0.0,0.0,107.1,
10.0,Dylan Sampson,21.0,CLE,RB,1.0,1.0,8.0,8.0,64.0,2.0,-25.0,-3.1,89.0,11.1,-3.1,0.0,,0.0,0.0,0.0,100.0,
11.0,Keenan Allen,33.0,LAC,WR,1.0,1.0,10.0,7.0,68.0,6.0,48.0,6.9,20.0,2.9,8.9,0.0,,0.0,0.0,0.0,122.1,
12.0,Harold Fannin,21.0,CLE,TE,1.0,1.0,9.0,7.0,63.0,3.0,35.0,5.0,28.0,4.0,7.2,0.0,,0.0,0.0,0.0,95.8,
13.0,Zay Flowers,25.0,BAL,WR,1.0,1.0,9.0,7.0,143.0,5.0,54.0,7.7,89.0,12.7,10.1,0.0,,0.0,0.0,0.0,155.8,
14.0,Dallas Goedert,30.0,PHI,TE,1.0,1.0,7.0,7.0,44.0,2.0,34.0,4.9,10.0,1.4,4.9,0.0,,0.0,0.0,0.0,92.9,
15.0,CeeDee Lamb,26.0,DAL,WR,1.0,1.0,13.0,7.0,110.0,6.0,66.0,9.4,44.0,6.3,14.0,0.0,,0.0,0.0,0.0,82.2,
16.0,Chris Olave,25.0,NOR,WR,1.0,1.0,13.0,7.0,54.0,2.0,38.0,5.4,16.0,2.3,7.5,0.0,,0.0,0.0,0.0,64.3,
17.0,Kyle Pitts,25.0,ATL,TE,1.0,1.0,8.0,7.0,59.0,5.0,21.0,3.0,38.0,5.4,4.6,0.0,,0.0,0.0,0.0,97.4,
18.0,Deebo Samuel,29.0,WAS,WR,1.0,0.0,10.0,7.0,77.0,3.0,38.0,5.4,39.0,5.6,8.0,0.0,,0.0,0.0,0.0,92.5,
19.0,Tyler Warren,23.0,IND,TE,1.0,1.0,9.0,7.0,76.0,4.0,40.0,5.7,36.0,5.1,5.2,1.0,7.0,0.0,0.0,0.0,101.9,
20.0,Garrett Wilson,25.0,NYJ,WR,1.0,1.0,9.0,7.0,95.0,4.0,78.0,11.1,17.0,2.4,9.6,0.0,,0.0,0.0,0.0,147.7,
21.0,Kayshon Boutte,23.0,NWE,WR,1.0,1.0,8.0,6.0,103.0,5.0,100.0,16.7,3.0,0.5,17.1,0.0,,0.0,0.0,0.0,116.7,
22.0,Stefon Diggs,32.0,NWE,WR,1.0,1.0,7.0,6.0,57.0,3.0,38.0,6.3,19.0,3.2,8.7,0.0,,0.0,0.0,1.0,61.0,
23.0,TreVeyon Henderson,23.0,NWE,RB,1.0,0.0,6.0,6.0,24.0,0.0,-19.0,-3.2,43.0,7.2,-3.2,0.0,,0.0,0.0,0.0,83.3,
24.0,Travis Hunter,22.0,JAX,WR,1.0,1.0,8.0,6.0,33.0,0.0,12.0,2.0,21.0,3.5,7.4,1.0,6.0,0.0,0.0,1.0,42.2,
25.0,Sam LaPorta,24.0,DET,TE,1.0,1.0,9.0,6.0,79.0,3.0,31.0,5.2,48.0,8.0,5.0,0.0,,0.0,0.0,0.0,94.2,
26.0,Trey McBride,26.0,ARI,TE,1.0,1.0,9.0,6.0,61.0,4.0,18.0,3.0,43.0,7.2,3.9,1.0,6.0,0.0,0.0,0.0,85.9,
27.0,Ladd McConkey,24.0,LAC,WR,1.0,1.0,9.0,6.0,74.0,3.0,57.0,9.5,17.0,2.8,10.8,0.0,,0.0,0.0,0.0,91.9,
28.0,Rome Odunze,23.0,CHI,WR,1.0,1.0,9.0,6.0,37.0,3.0,35.0,5.8,2.0,0.3,6.6,0.0,,0.0,0.0,0.0,111.8,
29.0,Michael Pittman Jr.,28.0,IND,WR,1.0,1.0,8.0,6.0,80.0,4.0,54.0,9.0,26.0,4.3,6.8,0.0,,0.0,0.0,0.0,145.8,
30.0,Bijan Robinson,23.0,ATL,RB,1.0,1.0,7.0,6.0,100.0,3.0,-6.0,-1.0,106.0,17.7,-1.3,0.0,,0.0,0.0,0.0,158.3,
31.0,Wan'Dale Robinson,24.0,NYG,WR,1.0,0.0,8.0,6.0,55.0,4.0,21.0,3.5,34.0,5.7,3.1,0.0,,0.0,0.0,0.0,93.2,
32.0,Rashid Shaheed,27.0,NOR,WR,1.0,1.0,9.0,6.0,33.0,2.0,28.0,4.7,5.0,0.8,8.8,0.0,,0.0,0.0,0.0,72.9,
33.0,Khalil Shakir,25.0,BUF,WR,1.0,0.0,9.0,6.0,64.0,3.0,42.0,7.0,22.0,3.7,9.4,0.0,,0.0,0.0,0.0,87.3,
34.0,Courtland Sutton,30.0,DEN,WR,1.0,1.0,9.0,6.0,61.0,4.0,53.0,8.8,8.0,1.3,11.9,0.0,,0.0,0.0,1.0,83.3,
35.0,Brock Bowers,23.0,LVR,TE,1.0,1.0,8.0,5.0,103.0,4.0,49.0,9.8,54.0,10.8,10.0,0.0,,0.0,0.0,1.0,66.7,
36.0,James Cook,26.0,BUF,RB,1.0,1.0,5.0,5.0,58.0,1.0,-6.0,-1.2,64.0,12.8,-1.2,1.0,5.0,0.0,0.0,0.0,115.0,
37.0,Mike Evans,32.0,TAM,WR,1.0,1.0,8.0,5.0,51.0,4.0,47.0,9.4,4.0,0.8,13.3,0.0,,0.0,0.0,0.0,80.7,
38.0,Jake Ferguson,26.0,DAL,TE,1.0,1.0,6.0,5.0,23.0,0.0,15.0,3.0,8.0,1.6,5.8,0.0,,0.0,0.0,0.0,82.6,
39.0,Marvin Harrison Jr.,23.0,ARI,WR,1.0,1.0,6.0,5.0,71.0,3.0,53.0,10.6,18.0,3.6,12.7,0.0,,0.0,0.0,0.0,155.6,
40.0,Jerry Jeudy,26.0,CLE,WR,1.0,1.0,8.0,5.0,66.0,4.0,56.0,11.2,10.0,2.0,12.1,0.0,,0.0,0.0,1.0,49.0,
41.0,Quentin Johnston,24.0,LAC,WR,1.0,1.0,7.0,5.0,79.0,3.0,40.0,8.0,39.0,7.8,12.4,0.0,,0.0,0.0,0.0,148.2,
42.0,Tetairoa McMillan,22.0,CAR,WR,1.0,1.0,9.0,5.0,68.0,4.0,56.0,11.2,12.0,2.4,11.6,0.0,,0.0,0.0,0.0,79.9,
43.0,Malik Nabers,22.0,NYG,WR,1.0,1.0,12.0,5.0,71.0,4.0,47.0,9.4,24.0,4.8,10.8,0.0,,0.0,0.0,0.0,61.5,
44.0,Josh Palmer,26.0,BUF,WR,1.0,1.0,9.0,5.0,61.0,3.0,49.0,9.8,12.0,2.4,12.8,0.0,,0.0,0.0,0.0,76.6,
45.0,Jonnu Smith,30.0,PIT,TE,1.0,0.0,6.0,5.0,15.0,2.0,-14.0,-2.8,29.0,5.8,-1.0,2.0,2.5,0.0,0.0,0.0,118.7,
46.0,JuJu Smith-Schuster,29.0,KAN,WR,1.0,1.0,5.0,5.0,55.0,1.0,29.0,5.8,26.0,5.2,5.8,0.0,,0.0,0.0,0.0,112.5,
47.0,Cedric Tillman,25.0,CLE,WR,1.0,1.0,8.0,5.0,52.0,3.0,40.0,8.0,12.0,2.4,7.4,0.0,,0.0,0.0,1.0,81.2,
48.0,Davante Adams,33.0,LAR,WR,1.0,1.0,8.0,4.0,51.0,4.0,43.0,10.8,8.0,2.0,8.8,0.0,,0.0,0.0,0.0,70.3,
49.0,Calvin Austin III,26.0,PIT,WR,1.0,1.0,6.0,4.0,70.0,3.0,48.0,12.0,22.0,5.5,14.0,0.0,,0.0,0.0,0.0,145.8,
