Quarter,Time,Tm,Detail,ARI,WAS,week,year,game_id
1.0,4:15,Commanders,Brian Robinson Jr. 7 yard pass from Sam Howell (Joey Slye kick),0,7,1.0,2023,5
,0:53,Cardinals,Matt Prater 28 yard field goal,3,7,1.0,2023,5
2.0,13:26,Cardinals,Matt Prater 54 yard field goal,6,7,1.0,2023,5
,0:55,Cardinals,Cameron Thomas 2 yard fumble return (Matt Prater kick),13,7,1.0,2023,5
,0:00,Commanders,Joey Slye 30 yard field goal,13,10,1.0,2023,5
3.0,10:09,Cardinals,Matt Prater 37 yard field goal,16,10,1.0,2023,5
4.0,11:48,Commanders,Sam Howell 6 yard rush (Joey Slye kick),16,17,1.0,2023,5
,2:23,Commanders,Joey Slye 33 yard field goal,16,20,1.0,2023,5
