Unnamed: 0,JAX,IND,week,year,game_id
First Downs,20,18,1.0,2023,4
Rush-Yds-TDs,35-105-2,26-65-1,1.0,2023,4
Cmp-Att-Yd-TD-INT,24-32-241-2-1,24-39-223-1-1,1.0,2023,4
Sacked-Yards,2-4,4-8,1.0,2023,4
Net Pass Yards,237,215,1.0,2023,4
Total Yards,342,280,1.0,2023,4
Fumbles-Lost,3-1,2-2,1.0,2023,4
Turnovers,2,3,1.0,2023,4
Penalties-Yards,4-45,4-35,1.0,2023,4
Third Down Conv.,3-12,2-12,1.0,2023,4
Fourth Down Conv.,1-3,1-5,1.0,2023,4
Time of Possession,33:37,26:23,1.0,2023,4
