Quarter,Time,Tm,Detail,JAX,IND,week,year,game_id
1.0,5:18,Jaguars,Calvin Ridley 9 yard pass from Trevor Lawrence (Brandon McManus kick),7,0,1.0,2023,4
2.0,14:57,Colts,Anthony Richardson 2 yard rush (Matt Gay kick),7,7,1.0,2023,4
,4:56,Jaguars,Zay Jones 18 yard pass from Trevor Lawrence (Brandon McManus kick),14,7,1.0,2023,4
3.0,11:25,Colts,Michael Pittman Jr. 39 yard pass from Anthony Richardson (Matt Gay kick),14,14,1.0,2023,4
,8:31,Jaguars,Brandon McManus 45 yard field goal,17,14,1.0,2023,4
,2:27,Colts,DeForest Buckner 26 yard fumble return (Matt Gay kick),17,21,1.0,2023,4
4.0,5:14,Jaguars,Tank Bigsby 1 yard rush (Brandon McManus kick),24,21,1.0,2023,4
,4:08,Jaguars,Travis Etienne 26 yard rush (Brandon McManus kick),31,21,1.0,2023,4
