Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Saints to receive the opening kickoff.",,,1.0,2023,8
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 63 yards, returned by Rashid Shaheed for 19 yards. Rashid Shaheed fumbles (forced by Amani Hooker), recovered by Amani Hooker at NO-24",0.0,-3.64,1.0,2023,8
1.0,14:56,1.0,15.0,NOR 29,0.0,0.0,"Penalty on Trevon Wesco: False Start, 5 yards (accepted) (no play)",3.64,3.64,1.0,2023,8
1.0,14:56,1.0,15.0,NOR 29,0.0,0.0,Ryan Tannehill pass incomplete short right intended for Chigoziem Okonkwo,3.64,2.76,1.0,2023,8
1.0,14:53,2.0,15.0,NOR 29,0.0,0.0,Ryan Tannehill scrambles right end for 2 yards (tackle by Khalen Saunders),2.76,2.35,1.0,2023,8
1.0,14:05,3.0,13.0,NOR 27,0.0,0.0,"Penalty on DeAndre Hopkins: False Start, 5 yards (accepted) (no play)",2.35,1.69,1.0,2023,8
1.0,13:49,3.0,18.0,NOR 32,0.0,0.0,Ryan Tannehill pass incomplete short right intended for Tyjae Spears,1.69,1.24,1.0,2023,8
1.0,13:45,4.0,18.0,NOR 32,3.0,0.0,Nick Folk 50 yard field goal good,1.24,3.0,1.0,2023,8
1.0,13:40,,,TEN 35,3.0,0.0,"Nick Folk kicks off 62 yards, returned by Rashid Shaheed for 22 yards (tackle by Monty Rice and Otis Reese)",0.0,0.61,1.0,2023,8
1.0,13:35,1.0,10.0,NOR 25,3.0,0.0,Derek Carr pass complete deep left to Michael Thomas for 25 yards (tackle by Kristian Fulton),0.61,2.26,1.0,2023,8
1.0,13:14,1.0,10.0,NOR 50,3.0,0.0,Derek Carr pass complete short right to Jamaal Williams for 5 yards (tackle by Harold Landry),2.26,2.39,1.0,2023,8
1.0,12:42,2.0,5.0,TEN 45,3.0,0.0,Jamaal Williams right guard for no gain (tackle by Denico Autry),2.39,1.69,1.0,2023,8
1.0,12:11,3.0,5.0,TEN 45,3.0,0.0,Derek Carr pass complete short middle to Michael Thomas for 12 yards (tackle by Sean Murphy-Bunting),1.69,3.38,1.0,2023,8
1.0,11:36,1.0,10.0,TEN 33,3.0,0.0,Derek Carr pass complete deep right to Rashid Shaheed for 22 yards,3.38,4.84,1.0,2023,8
