Quarter,Time,Tm,Detail,CIN,CLE,week,year,game_id
2.0,14:15,Browns,Dustin Hopkins 42 yard field goal,0,3,1.0,2023,3
,0:17,Browns,Deshaun Watson 13 yard rush (Dustin Hopkins kick),0,10,1.0,2023,3
3.0,11:44,Bengals,Evan McPherson 42 yard field goal,3,10,1.0,2023,3
,2:21,Browns,Dustin Hopkins 34 yard field goal,3,13,1.0,2023,3
4.0,11:29,Browns,Dustin Hopkins 43 yard field goal,3,16,1.0,2023,3
,9:11,Browns,Harrison Bryant 3 yard pass from Deshaun Watson (Deshaun Watson run),3,24,1.0,2023,3
