Quarter,Time,Tm,Detail,CAR,ATL,week,year,game_id
2.0,14:54,Falcons,Bijan Robinson 11 yard pass from Desmond Ridder (Younghoe Koo kick),0,7,1.0,2023,2
,5:09,Panthers,Hayden Hurst 4 yard pass from Bryce Young (Eddy Piñeiro kick),7,7,1.0,2023,2
3.0,10:46,Panthers,Eddy Piñeiro 43 yard field goal,10,7,1.0,2023,2
,4:52,Falcons,Younghoe Koo 49 yard field goal,10,10,1.0,2023,2
4.0,14:12,Falcons,Tyler Allgeier 3 yard rush (Younghoe Koo kick),10,17,1.0,2023,2
,4:48,Falcons,Tyler Allgeier 3 yard rush (Younghoe Koo kick),10,24,1.0,2023,2
