Quarter,Time,Down,ToGo,Location,SFO,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,,1.0,2023,9
1.0,15:00,,,SFO 35,0.0,0.0,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,9
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Kenny Pickett pass complete short left to George Pickens for 6 yards (tackle by Fred Warner),0.61,0.87,1.0,2023,9
1.0,14:25,2.0,4.0,PIT 31,0.0,0.0,Kenny Pickett pass complete short middle to Calvin Austin for -1 yards (tackle by Clelin Ferrell and Tashaun Gipson),0.87,0.04,1.0,2023,9
1.0,14:03,3.0,5.0,PIT 30,0.0,0.0,Kenny Pickett sacked by Drake Jackson for -10 yards,0.04,-2.03,1.0,2023,9
1.0,13:23,4.0,15.0,PIT 20,0.0,0.0,Pressley Harvin punts 34 yards out of bounds,-2.03,-1.99,1.0,2023,9
1.0,13:15,1.0,10.0,SFO 46,0.0,0.0,Brock Purdy pass complete short middle to Deebo Samuel for 6 yards (tackle by Keanu Neal),1.99,2.26,1.0,2023,9
1.0,12:36,2.0,4.0,PIT 48,0.0,0.0,Deebo Samuel right end for 3 yards (tackle by Larry Ogunjobi),2.26,1.95,1.0,2023,9
1.0,12:11,3.0,1.0,PIT 45,0.0,0.0,Christian McCaffrey up the middle for no gain (tackle by Elandon Roberts and Cole Holcomb),1.95,0.27,1.0,2023,9
1.0,11:33,4.0,1.0,PIT 45,0.0,0.0,Brock Purdy pass complete short left to George Kittle for 11 yards (tackle by Elandon Roberts and Patrick Peterson),0.27,3.31,1.0,2023,9
1.0,10:50,1.0,10.0,PIT 34,0.0,0.0,Christian McCaffrey left end for 9 yards (tackle by Levi Wallace),3.31,3.99,1.0,2023,9
1.0,10:14,2.0,1.0,PIT 25,0.0,0.0,Christian McCaffrey left guard for 17 yards (tackle by Minkah Fitzpatrick),3.99,5.37,1.0,2023,9
1.0,9:34,1.0,8.0,PIT 8,6.0,0.0,"Brock Purdy pass complete short middle to Brandon Aiyuk for 8 yards, touchdown",5.37,7.0,1.0,2023,9
1.0,9:29,,,PIT 15,6.0,0.0,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,1.0,2023,9
1.0,9:29,,,PIT 20,7.0,0.0,Jake Moody kicks extra point good,0.0,0.0,1.0,2023,9
1.0,9:29,,,SFO 35,7.0,0.0,"Mitch Wishnowsky kicks off 63 yards, returned by Anthony McFarland for 25 yards (tackle by Charlie Woerner)",0.0,0.74,1.0,2023,9
1.0,9:24,1.0,10.0,PIT 27,7.0,0.0,Najee Harris left tackle for -2 yards (tackle by Fred Warner),0.74,-0.07,1.0,2023,9
1.0,8:49,2.0,12.0,PIT 25,7.0,0.0,Kenny Pickett pass complete short right to Calvin Austin for 7 yards (tackle by Deommodore Lenoir),-0.07,0.17,1.0,2023,9
1.0,8:08,3.0,5.0,PIT 32,7.0,0.0,Kenny Pickett pass deep right intended for Diontae Johnson is intercepted by Charvarius Ward at SF-43 and returned for 9 yards (tackle by Pat Freiermuth),0.17,-2.39,1.0,2023,9
1.0,8:00,1.0,10.0,PIT 48,7.0,0.0,Christian McCaffrey left tackle for -1 yards (tackle by Elandon Roberts),2.39,1.71,1.0,2023,9
1.0,7:20,2.0,11.0,PIT 49,7.0,0.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 23 yards (tackle by Keanu Neal and Minkah Fitzpatrick),1.71,3.84,1.0,2023,9
1.0,6:38,1.0,10.0,PIT 26,7.0,0.0,"Christian McCaffrey for no gain (tackle by Alex Highsmith). Penalty on Spencer Burford: Offensive Holding, 10 yards (accepted) (no play)",3.84,3.18,1.0,2023,9
1.0,6:13,1.0,20.0,PIT 36,7.0,0.0,Brock Purdy pass complete short middle to George Kittle for 6 yards (tackle by Minkah Fitzpatrick),3.18,2.76,1.0,2023,9
