Unnamed: 0,TEN,NOR,week,year,game_id
First Downs,16,15,1.0,2023,8
Rush-Yds-TDs,22-104-0,27-69-0,1.0,2023,8
Cmp-Att-Yd-TD-INT,16-34-198-0-3,23-33-305-1-1,1.0,2023,8
Sacked-Yards,3-17,4-23,1.0,2023,8
Net Pass Yards,181,282,1.0,2023,8
Total Yards,285,351,1.0,2023,8
Fumbles-Lost,0-0,2-1,1.0,2023,8
Turnovers,3,2,1.0,2023,8
Penalties-Yards,6-45,7-45,1.0,2023,8
Third Down Conv.,2-12,7-16,1.0,2023,8
Fourth Down Conv.,0-0,0-0,1.0,2023,8
Time of Possession,31:20,28:40,1.0,2023,8
