Unnamed: 0,BUF,NYJ,week,year,game_id
First Downs,19,13,1.0,2023,16
Rush-Yds-TDs,22-97-0,28-172-0,1.0,2023,16
Cmp-Att-Yd-TD-INT,29-41-236-1-3,14-22-140-1-1,1.0,2023,16
Sacked-Yards,5-19,3-23,1.0,2023,16
Net Pass Yards,217,117,1.0,2023,16
Total Yards,314,289,1.0,2023,16
Fumbles-Lost,2-1,1-0,1.0,2023,16
Turnovers,4,1,1.0,2023,16
Penalties-Yards,5-40,2-10,1.0,2023,16
Third Down Conv.,5-13,5-13,1.0,2023,16
Fourth Down Conv.,0-0,1-1,1.0,2023,16
Time of Possession,33:08,27:50,1.0,2023,16
