Quarter,Time,Down,ToGo,Location,MIA,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,1.0,2023,12
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
1.0,15:00,1.0,10.0,MIA 25,0.0,0.0,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at MIA-22 Tua Tagovailoa for no gain. Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",0.61,1.34,1.0,2023,12
1.0,14:44,1.0,5.0,MIA 30,0.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 16 yards (tackle by Alohi Gilman),1.34,1.99,1.0,2023,12
1.0,14:07,1.0,10.0,MIA 46,0.0,0.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 35 yards (tackle by JT Woods),1.99,4.31,1.0,2023,12
1.0,13:32,1.0,10.0,LAC 19,0.0,0.0,Salvon Ahmed left end for 5 yards (tackle by Michael Davis),4.31,4.53,1.0,2023,12
1.0,12:53,2.0,5.0,LAC 14,0.0,0.0,Erik Ezukanma right end for 12 yards (tackle by Joey Bosa),4.53,6.74,1.0,2023,12
1.0,12:13,1.0,2.0,LAC 2,0.0,0.0,"Tua Tagovailoa aborted snap, recovered by Nick Williams at LAC-6",6.74,0.38,1.0,2023,12
1.0,12:02,1.0,10.0,LAC 6,0.0,0.0,Austin Ekeler left tackle for 6 yards (tackle by DeShon Elliott and Jaelan Phillips),-0.38,-0.34,1.0,2023,12
1.0,11:25,2.0,4.0,LAC 12,0.0,0.0,Justin Herbert pass incomplete short left intended for Keenan Allen,-0.34,-0.72,1.0,2023,12
1.0,11:20,3.0,4.0,LAC 12,0.0,0.0,Justin Herbert up the middle for 5 yards (tackle by DeShon Elliott),-0.72,-0.06,1.0,2023,12
1.0,10:39,1.0,10.0,LAC 17,0.0,0.0,Joshua Kelley left guard for 4 yards (tackle by Jaelan Phillips),-0.06,0.08,1.0,2023,12
1.0,10:00,2.0,6.0,LAC 21,0.0,0.0,Justin Herbert pass complete deep left to Keenan Allen for 36 yards (tackle by DeShon Elliott),0.08,2.72,1.0,2023,12
1.0,9:25,1.0,10.0,MIA 43,0.0,0.0,Austin Ekeler left tackle for 6 yards (tackle by Andrew Van Ginkel and Jerome Baker),2.72,2.99,1.0,2023,12
1.0,8:54,2.0,4.0,MIA 37,0.0,0.0,Gerald Everett right end for 2 yards (tackle by Eli Apple and Jevon Holland),2.99,2.54,1.0,2023,12
1.0,8:16,3.0,2.0,MIA 35,0.0,0.0,Justin Herbert right end for 5 yards (tackle by Andrew Van Ginkel),2.54,3.58,1.0,2023,12
1.0,7:38,1.0,10.0,MIA 30,0.0,0.0,Austin Ekeler up the middle for 6 yards (tackle by Jevon Holland and Jerome Baker),3.58,3.84,1.0,2023,12
1.0,7:01,2.0,4.0,MIA 24,0.0,0.0,Joshua Kelley left tackle for 6 yards (tackle by Jerome Baker),3.84,4.37,1.0,2023,12
1.0,6:19,1.0,10.0,MIA 18,0.0,0.0,Joshua Kelley up the middle for 10 yards (tackle by DeShon Elliott),4.37,5.37,1.0,2023,12
1.0,5:34,1.0,8.0,MIA 8,0.0,0.0,Keenan Allen right end for 4 yards (tackle by Jevon Holland),5.37,5.34,1.0,2023,12
1.0,5:15,2.0,4.0,MIA 4,0.0,0.0,Austin Ekeler right guard for 3 yards (tackle by Zach Sieler),5.34,5.17,1.0,2023,12
1.0,4:42,3.0,1.0,MIA 1,0.0,6.0,"Austin Ekeler right tackle for 1 yard, touchdown",5.17,7.0,1.0,2023,12
1.0,4:39,,,MIA 15,0.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,1.0,2023,12
1.0,4:39,,,LAC 35,0.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
1.0,4:39,1.0,10.0,MIA 25,0.0,7.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill (defended by J.C. Jackson),0.61,0.06,1.0,2023,12
1.0,4:33,2.0,10.0,MIA 25,0.0,7.0,Tua Tagovailoa pass complete short middle to River Cracraft for 24 yards (tackle by JT Woods),0.06,2.19,1.0,2023,12
1.0,3:59,1.0,10.0,MIA 49,0.0,7.0,Raheem Mostert left tackle for 10 yards (tackle by JT Woods and Alohi Gilman),2.19,2.85,1.0,2023,12
1.0,3:19,1.0,10.0,LAC 41,0.0,7.0,Raheem Mostert right end for 7 yards (tackle by Michael Davis),2.85,3.25,1.0,2023,12
