Unnamed: 0,HOU,BAL,week,year,game_id
First Downs,18,18,1.0,2023,6
Rush-Yds-TDs,23-72-0,32-110-3,1.0,2023,6
Cmp-Att-Yd-TD-INT,28-44-242-0-0,17-22-169-0-1,1.0,2023,6
Sacked-Yards,5-46,4-14,1.0,2023,6
Net Pass Yards,196,155,1.0,2023,6
Total Yards,268,265,1.0,2023,6
Fumbles-Lost,1-1,2-1,1.0,2023,6
Turnovers,1,2,1.0,2023,6
Penalties-Yards,9-88,13-106,1.0,2023,6
Third Down Conv.,7-18,8-15,1.0,2023,6
Fourth Down Conv.,1-4,0-0,1.0,2023,6
Time of Possession,29:05,30:55,1.0,2023,6
