Unnamed: 0,SFO,PIT,week,year,game_id
First Downs,22,15,1.0,2023,9
Rush-Yds-TDs,34-188-1,10-41-0,1.0,2023,9
Cmp-Att-Yd-TD-INT,19-29-220-2-0,31-46-232-1-2,1.0,2023,9
Sacked-Yards,3-17,5-34,1.0,2023,9
Net Pass Yards,203,198,1.0,2023,9
Total Yards,391,239,1.0,2023,9
Fumbles-Lost,3-1,0-0,1.0,2023,9
Turnovers,1,2,1.0,2023,9
Penalties-Yards,11-85,6-60,1.0,2023,9
Third Down Conv.,6-13,5-15,1.0,2023,9
Fourth Down Conv.,1-1,1-3,1.0,2023,9
Time of Possession,37:23,22:37,1.0,2023,9
