Unnamed: 0,GNB,CHI,week,year,game_id
First Downs,15,22,1.0,2023,10
Rush-Yds-TDs,32-92-1,29-122-1,1.0,2023,10
Cmp-Att-Yd-TD-INT,15-27-245-3-0,24-37-216-1-1,1.0,2023,10
Sacked-Yards,1-8,4-27,1.0,2023,10
Net Pass Yards,237,189,1.0,2023,10
Total Yards,329,311,1.0,2023,10
Fumbles-Lost,2-0,1-1,1.0,2023,10
Turnovers,0,2,1.0,2023,10
Penalties-Yards,9-90,7-61,1.0,2023,10
Third Down Conv.,9-16,3-13,1.0,2023,10
Fourth Down Conv.,1-2,1-2,1.0,2023,10
Time of Possession,29:17,30:43,1.0,2023,10
