Quarter,Time,Down,ToGo,Location,HOU,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Ravens to receive the opening kickoff.",,,1.0,2023,6
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 67 yards, returned by Devin Duvernay for 18 yards (tackle by Eric Murray). Penalty on Geno Stone: Illegal Block Above the Waist, 8 yards (accepted)",0.0,-0.38,1.0,2023,6
1.0,14:52,1.0,10.0,BAL 8,0.0,0.0,J.K. Dobbins left tackle for 4 yards (tackle by Will Anderson and Maliek Collins),-0.38,-0.49,1.0,2023,6
1.0,14:43,2.0,6.0,BAL 12,0.0,0.0,Lamar Jackson pass complete short right to Isaiah Likely for 4 yards (tackle by Derek Stingley),-0.49,-0.48,1.0,2023,6
1.0,13:42,3.0,2.0,BAL 16,0.0,0.0,Lamar Jackson sacked by Jonathan Greenard for -7 yards,-0.48,-2.49,1.0,2023,6
1.0,13:00,4.0,9.0,BAL 9,0.0,0.0,"Jordan Stout punts 67 yards, returned by Tank Dell for 14 yards (tackle by Brandon Stephens and Del'Shawn Phillips)",-2.49,-1.47,1.0,2023,6
1.0,12:49,1.0,10.0,HOU 38,0.0,0.0,Dameon Pierce up the middle for 4 yards (tackle by Broderick Washington and Patrick Queen),1.47,1.46,1.0,2023,6
1.0,12:18,2.0,6.0,HOU 42,0.0,0.0,C.J. Stroud pass complete short middle to C.J. Stroud for no gain (tackle by Kyle Hamilton),1.46,0.76,1.0,2023,6
1.0,11:43,3.0,6.0,HOU 42,0.0,0.0,C.J. Stroud pass complete short right to Dameon Pierce for no gain (tackle by Ronald Darby),0.76,-0.59,1.0,2023,6
1.0,11:06,4.0,6.0,HOU 42,0.0,0.0,"Ty Zentner punts, fair catch by Devin Duvernay at BAL-15. Penalty on Ar'Darius Washington: Running Into the Kicker, 5 yards (accepted) (no play)",-0.59,-0.26,1.0,2023,6
1.0,10:59,4.0,1.0,HOU 47,0.0,0.0,C.J. Stroud sacked by Patrick Queen for -11 yards,-0.26,-3.18,1.0,2023,6
1.0,10:53,1.0,10.0,HOU 36,0.0,0.0,Lamar Jackson scrambles left tackle for 8 yards (tackle by Eric Murray),3.18,3.72,1.0,2023,6
1.0,10:17,2.0,2.0,HOU 28,0.0,0.0,Lamar Jackson pass complete short right to Zay Flowers for no gain (tackle by Jalen Pitre and Henry To'oTo'o),3.72,3.01,1.0,2023,6
1.0,9:53,3.0,2.0,HOU 28,0.0,0.0,Lamar Jackson pass complete short left to Zay Flowers for 8 yards (tackle by Eric Murray),3.01,4.24,1.0,2023,6
1.0,9:06,1.0,10.0,HOU 20,0.0,0.0,Justice Hill right guard for no gain (tackle by Denzel Perryman),4.24,3.69,1.0,2023,6
1.0,8:27,2.0,10.0,HOU 20,0.0,0.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",3.69,3.02,1.0,2023,6
