Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
David Montgomery,DET,21,74,1,4.0,51,2.4,23,1.1,1,21.0,1.0,2023,1
Jahmyr Gibbs,DET,7,42,0,2.0,19,2.7,23,3.3,6,1.2,1.0,2023,1
Jared Goff,DET,5,-1,0,1.0,-1,-0.2,0,0.0,0,,1.0,2023,1
Jalen Reeves-Maybin,DET,1,3,0,1.0,3,3.0,0,0.0,0,,1.0,2023,1
Isiah Pacheco,KAN,8,23,0,2.0,13,1.6,10,1.3,0,,1.0,2023,1
Clyde Edwards-Helaire,KAN,6,22,0,1.0,22,3.7,0,0.0,0,,1.0,2023,1
Patrick Mahomes,KAN,6,45,0,3.0,45,7.5,0,0.0,0,,1.0,2023,1
Skyy Moore,KAN,1,4,0,,2,2.0,2,2.0,0,,1.0,2023,1
Rashee Rice,KAN,1,-3,0,0.0,-3,-3.0,0,0.0,0,,1.0,2023,1
Kadarius Toney,KAN,1,-1,0,,-1,-1.0,0,0.0,0,,1.0,2023,1
