Quarter,Time,Tm,Detail,TEN,NOR,week,year,game_id
1.0,13:40,Titans,Nick Folk 50 yard field goal,3,0,1.0,2023,8
,10:18,Saints,Blake Grupe 26 yard field goal,3,3,1.0,2023,8
,3:07,Titans,Nick Folk 27 yard field goal,6,3,1.0,2023,8
2.0,7:37,Saints,Blake Grupe 33 yard field goal,6,6,1.0,2023,8
,1:40,Titans,Nick Folk 31 yard field goal,9,6,1.0,2023,8
3.0,9:25,Saints,Blake Grupe 52 yard field goal,9,9,1.0,2023,8
,1:23,Saints,Rashid Shaheed 19 yard pass from Derek Carr (Blake Grupe kick),9,16,1.0,2023,8
4.0,11:12,Titans,Nick Folk 45 yard field goal,12,16,1.0,2023,8
,2:17,Titans,Nick Folk 29 yard field goal,15,16,1.0,2023,8
