Quarter,Time,Tm,Detail,GNB,CHI,week,year,game_id
1.0,6:08,Packers,Romeo Doubs 8 yard pass from Jordan Love (Anders Carlson kick),7,0,1.0,2023,10
,2:04,Bears,Cairo Santos 47 yard field goal,7,3,1.0,2023,10
2.0,9:00,Bears,Cairo Santos 29 yard field goal,7,6,1.0,2023,10
,0:00,Packers,Anders Carlson 52 yard field goal,10,6,1.0,2023,10
3.0,10:19,Packers,Aaron Jones 1 yard rush (Anders Carlson kick),17,6,1.0,2023,10
,6:26,Packers,Aaron Jones 35 yard pass from Jordan Love (Anders Carlson kick),24,6,1.0,2023,10
,0:59,Bears,Darnell Mooney 20 yard pass from Justin Fields (Khalil Herbert run),24,14,1.0,2023,10
4.0,13:30,Packers,Romeo Doubs 4 yard pass from Jordan Love (Anders Carlson kick),31,14,1.0,2023,10
,12:36,Packers,Quay Walker 37 yard interception return (Anders Carlson kick),38,14,1.0,2023,10
,2:54,Bears,Roschon Johnson 2 yard rush (pass failed),38,20,1.0,2023,10
