Quarter,Time,Down,ToGo,Location,TAM,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Vikings to receive the opening kickoff.",,,1.0,2023,7
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,7
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,Alexander Mattison up the middle for 8 yards (tackle by Antoine Winfield and Devin White),0.61,1.01,1.0,2023,7
1.0,14:32,2.0,3.0,MIN 32,0.0,0.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Antoine Winfield),1.01,0.3,1.0,2023,7
1.0,14:27,3.0,3.0,MIN 32,0.0,0.0,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",0.3,-0.23,1.0,2023,7
1.0,14:27,3.0,7.0,MIN 28,0.0,0.0,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,-0.23,-1.5,1.0,2023,7
1.0,14:23,4.0,7.0,MIN 28,0.0,0.0,"Ryan Wright punts 52 yards, returned by Deven Thompkins for 13 yards (tackle by Andrew DePaola and D.J. Wonnum)",-1.5,-1.14,1.0,2023,7
1.0,14:12,1.0,10.0,TAM 33,0.0,0.0,Baker Mayfield pass incomplete short right intended for Ko Kieft (defended by Danielle Hunter),1.14,0.59,1.0,2023,7
1.0,14:09,2.0,10.0,TAM 33,0.0,0.0,Baker Mayfield pass incomplete deep left intended for Ko Kieft,0.59,-0.1,1.0,2023,7
1.0,14:04,3.0,10.0,TAM 33,0.0,0.0,"Baker Mayfield pass complete short right to Rachaad White for 2 yards (tackle by Mekhi Blackmon). Penalty on Luke Goedeke: Offensive Holding, 10 yards (declined)",-0.1,-1.04,1.0,2023,7
1.0,13:44,4.0,8.0,TAM 35,0.0,0.0,"Jake Camarda punts 53 yards, returned by Brandon Powell for 1 yard (tackle by Zyon McCollum)",-1.04,0.32,1.0,2023,7
1.0,13:36,1.0,10.0,MIN 13,0.0,0.0,Alexander Mattison up the middle for 3 yards (tackle by Devin White),-0.32,-0.44,1.0,2023,7
1.0,12:58,2.0,7.0,MIN 16,0.0,0.0,Kirk Cousins pass complete short right to Justin Jefferson for 8 yards (tackle by Lavonte David and Carlton Davis),-0.44,0.54,1.0,2023,7
1.0,12:12,1.0,10.0,MIN 24,0.0,0.0,Kirk Cousins pass complete short middle to C.J. Ham for 1 yard (tackle by Devin White and Joe Tryon-Shoyinka),0.54,0.13,1.0,2023,7
1.0,11:35,2.0,9.0,MIN 25,0.0,0.0,Kirk Cousins pass complete deep left to Justin Jefferson for 30 yards (tackle by Ryan Neal),0.13,2.59,1.0,2023,7
