Unnamed: 0,LVR,DEN,week,year,game_id
First Downs,22,22,1.0,2023,11
Rush-Yds-TDs,29-61-0,22-94-0,1.0,2023,11
Cmp-Att-Yd-TD-INT,20-26-200-2-1,27-34-177-2-0,1.0,2023,11
Sacked-Yards,0-0,2-11,1.0,2023,11
Net Pass Yards,200,166,1.0,2023,11
Total Yards,261,260,1.0,2023,11
Fumbles-Lost,1-0,0-0,1.0,2023,11
Turnovers,1,0,1.0,2023,11
Penalties-Yards,10-97,10-83,1.0,2023,11
Third Down Conv.,5-11,5-11,1.0,2023,11
Fourth Down Conv.,1-1,0-0,1.0,2023,11
Time of Possession,27:52,32:08,1.0,2023,11
