Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,1.0,2023,14
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,14
1.0,15:00,1.0,10.0,SEA 25,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Ahkello Witherspoon),0.61,0.74,1.0,2023,14
1.0,14:34,2.0,5.0,SEA 30,0.0,0.0,Kenneth Walker left guard for 4 yards (tackle by Jonah Williams and Russ Yeast),0.74,0.56,1.0,2023,14
1.0,14:12,3.0,1.0,SEA 34,0.0,0.0,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Byron Young),0.56,1.53,1.0,2023,14
1.0,13:53,1.0,10.0,SEA 39,0.0,0.0,Kenneth Walker left guard for 5 yards (tackle by Ernest Jones and Christian Rozeboom),1.53,1.66,1.0,2023,14
1.0,13:19,2.0,5.0,SEA 44,0.0,0.0,Kenneth Walker left guard for 3 yards (tackle by Christian Rozeboom),1.66,1.36,1.0,2023,14
1.0,12:41,3.0,2.0,SEA 47,0.0,0.0,Geno Smith pass complete deep right to D.K. Metcalf for 28 yards (tackle by Jordan Fuller),1.36,3.91,1.0,2023,14
1.0,11:56,1.0,10.0,LAR 25,0.0,0.0,Kenneth Walker right guard for 3 yards (tackle by Jordan Fuller and Jonah Williams),3.91,3.77,1.0,2023,14
1.0,11:22,2.0,7.0,LAR 22,0.0,0.0,Geno Smith pass incomplete short right,3.77,3.07,1.0,2023,14
1.0,11:17,3.0,7.0,LAR 22,0.0,0.0,"Geno Smith pass incomplete short left intended for Tyler Lockett. Penalty on Cobie Durant: Defensive Pass Interference, 10 yards (accepted) (no play)",3.07,4.78,1.0,2023,14
1.0,11:10,1.0,10.0,LAR 12,0.0,0.0,Kenneth Walker right tackle for no gain (tackle by Ernest Jones and Aaron Donald),4.78,4.1,1.0,2023,14
1.0,10:32,2.0,10.0,LAR 12,0.0,0.0,Geno Smith pass complete short right to Kenneth Walker for -6 yards (tackle by Ernest Jones),4.1,2.73,1.0,2023,14
1.0,9:58,3.0,16.0,LAR 18,0.0,0.0,Geno Smith pass incomplete deep left intended for Tyler Lockett (defended by Derion Kendrick),2.73,2.25,1.0,2023,14
1.0,9:56,4.0,16.0,LAR 18,0.0,3.0,Jason Myers 36 yard field goal good,2.25,3.0,1.0,2023,14
1.0,9:52,,,SEA 35,0.0,3.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,14
1.0,9:52,1.0,10.0,LAR 25,0.0,3.0,Cam Akers right tackle for no gain (tackle by Bobby Wagner and Dre'Mont Jones),0.61,0.06,1.0,2023,14
1.0,9:12,2.0,10.0,LAR 25,0.0,3.0,Kyren Williams right tackle for 6 yards (tackle by Julian Love),0.06,0.17,1.0,2023,14
1.0,8:32,3.0,4.0,LAR 31,0.0,3.0,Matthew Stafford pass complete short middle to Tyler Higbee for 7 yards (tackle by Jordyn Brooks),0.17,1.47,1.0,2023,14
1.0,7:50,1.0,10.0,LAR 38,0.0,3.0,Cam Akers right tackle for 12 yards (tackle by Jordyn Brooks and Jarran Reed),1.47,2.26,1.0,2023,14
1.0,7:19,1.0,10.0,SEA 50,0.0,3.0,Cam Akers left guard for 2 yards (tackle by Jarran Reed),2.26,1.98,1.0,2023,14
1.0,6:36,2.0,8.0,SEA 48,0.0,3.0,Kyren Williams left guard for 4 yards (tackle by Bobby Wagner),1.98,1.82,1.0,2023,14
1.0,5:51,,,,,,Timeout #1 by Los Angeles Rams,,,1.0,2023,14
1.0,5:51,3.0,4.0,SEA 44,0.0,3.0,Kyren Williams right guard for 9 yards (tackle by Coby Bryant and Quandre Diggs),1.82,3.25,1.0,2023,14
1.0,5:16,1.0,10.0,SEA 35,0.0,3.0,Matthew Stafford pass incomplete short right,3.25,2.7,1.0,2023,14
1.0,5:13,2.0,10.0,SEA 35,0.0,3.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,2.7,2.01,1.0,2023,14
1.0,5:09,3.0,10.0,SEA 35,0.0,3.0,Matthew Stafford pass complete short middle to Van Jefferson for 10 yards (tackle by Julian Love),2.01,3.91,1.0,2023,14
1.0,4:25,1.0,10.0,SEA 25,0.0,3.0,Cam Akers left end for -4 yards (tackle by Uchenna Nwosu),3.91,2.82,1.0,2023,14
1.0,3:40,2.0,14.0,SEA 29,0.0,3.0,Matthew Stafford pass complete short left to Puka Nacua for 10 yards (tackle by Julian Love and Riq Woolen),2.82,3.49,1.0,2023,14
1.0,2:56,3.0,4.0,SEA 19,0.0,3.0,Matthew Stafford pass complete short middle to Tyler Higbee for 12 yards (tackle by Coby Bryant),3.49,5.6,1.0,2023,14
1.0,2:17,1.0,7.0,SEA 7,0.0,3.0,"Tutu Atwell left end for no gain. Penalty on Van Jefferson: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",5.6,4.26,1.0,2023,14
1.0,1:46,1.0,17.0,SEA 17,0.0,3.0,Kyren Williams left guard for no gain (tackle by Jordyn Brooks),4.26,3.24,1.0,2023,14
1.0,1:09,2.0,17.0,SEA 17,0.0,3.0,Matthew Stafford pass complete short right to Puka Nacua for 16 yards (tackle by Tre Brown),3.24,5.17,1.0,2023,14
1.0,0:42,3.0,1.0,SEA 1,6.0,3.0,"Kyren Williams left guard for 1 yard, touchdown",5.17,7.0,1.0,2023,14
1.0,0:39,,,SEA 15,7.0,3.0,Brett Maher kicks extra point good,0.0,0.0,1.0,2023,14
