Unnamed: 0,PHI,NWE,week,year,game_id
First Downs,17,24,1.0,2023,13
Rush-Yds-TDs,25-97-0,22-76-0,1.0,2023,13
Cmp-Att-Yd-TD-INT,22-33-170-1-0,35-54-316-3-1,1.0,2023,13
Sacked-Yards,3-16,2-10,1.0,2023,13
Net Pass Yards,154,306,1.0,2023,13
Total Yards,251,382,1.0,2023,13
Fumbles-Lost,1-1,2-1,1.0,2023,13
Turnovers,1,2,1.0,2023,13
Penalties-Yards,5-49,7-50,1.0,2023,13
Third Down Conv.,4-13,5-15,1.0,2023,13
Fourth Down Conv.,0-1,1-4,1.0,2023,13
Time of Possession,30:48,29:12,1.0,2023,13
