Unnamed: 0,DET,KAN,week,year,game_id
First Downs,19,17,1.0,2023,1
Rush-Yds-TDs,34-118-1,23-90-0,1.0,2023,1
Cmp-Att-Yd-TD-INT,22-35-253-1-0,21-39-226-2-1,1.0,2023,1
Sacked-Yards,1-3,0-0,1.0,2023,1
Net Pass Yards,250,226,1.0,2023,1
Total Yards,368,316,1.0,2023,1
Fumbles-Lost,2-1,0-0,1.0,2023,1
Turnovers,1,1,1.0,2023,1
Penalties-Yards,4-63,3-25,1.0,2023,1
Third Down Conv.,5-15,5-14,1.0,2023,1
Fourth Down Conv.,1-3,0-1,1.0,2023,1
Time of Possession,32:38,27:22,1.0,2023,1
