Unnamed: 0,TAM,MIN,week,year,game_id
First Downs,16,18,1.0,2023,7
Rush-Yds-TDs,33-73-0,17-41-0,1.0,2023,7
Cmp-Att-Yd-TD-INT,21-34-173-2-0,33-44-344-2-1,1.0,2023,7
Sacked-Yards,1-4,2-16,1.0,2023,7
Net Pass Yards,169,328,1.0,2023,7
Total Yards,242,369,1.0,2023,7
Fumbles-Lost,0-0,2-2,1.0,2023,7
Turnovers,0,3,1.0,2023,7
Penalties-Yards,3-19,6-45,1.0,2023,7
Third Down Conv.,6-17,6-14,1.0,2023,7
Fourth Down Conv.,1-1,0-0,1.0,2023,7
Time of Possession,30:39,29:21,1.0,2023,7
