Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Eagles to receive the opening kickoff.",,,1.0,2023,13
1.0,15:00,,,NWE 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,13
1.0,15:00,1.0,10.0,PHI 25,0.0,0.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 6 yards (tackle by Jabrill Peppers and Jahlani Tavai),0.61,0.87,1.0,2023,13
1.0,14:22,2.0,4.0,PHI 31,0.0,0.0,", recovered by Jalen Hurts at PHI-20 Jalen Hurts for no gain. Penalty on Deatrich Wise: Defensive Offside, 5 yards (accepted) (no play)",0.87,1.33,1.0,2023,13
1.0,13:57,1.0,10.0,PHI 36,0.0,0.0,Kenneth Gainwell left guard for 16 yards (tackle by Marte Mapu),1.33,2.39,1.0,2023,13
1.0,13:18,1.0,10.0,NWE 48,0.0,0.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 8 yards (tackle by Ja'Whaun Bentley and Marte Mapu),2.39,2.93,1.0,2023,13
1.0,12:31,2.0,2.0,NWE 40,0.0,0.0,Kenneth Gainwell right tackle for 1 yard (tackle by Ja'Whaun Bentley),2.93,2.34,1.0,2023,13
1.0,12:04,3.0,1.0,NWE 39,0.0,0.0,Kenneth Gainwell up the middle for 5 yards (tackle by Deatrich Wise),2.34,3.31,1.0,2023,13
1.0,11:35,1.0,10.0,NWE 34,0.0,0.0,Jalen Hurts pass complete short left to Quez Watkins for 8 yards (tackle by Myles Bryant),3.31,3.85,1.0,2023,13
1.0,11:25,2.0,2.0,NWE 26,0.0,0.0,Kenneth Gainwell left guard for 4 yards (tackle by Daniel Ekuale),3.85,4.11,1.0,2023,13
1.0,10:51,1.0,10.0,NWE 22,0.0,0.0,Jalen Hurts left end for -1 yards (tackle by Ja'Whaun Bentley),4.11,3.43,1.0,2023,13
1.0,10:11,2.0,11.0,NWE 23,0.0,0.0,Jalen Hurts pass incomplete deep left,3.43,2.74,1.0,2023,13
1.0,10:03,3.0,11.0,NWE 23,0.0,0.0,Jalen Hurts left guard for 14 yards (tackle by Jalen Mills),2.74,5.14,1.0,2023,13
1.0,9:41,,,,,,Timeout #1 by New England Patriots,,,1.0,2023,13
1.0,9:41,1.0,9.0,NWE 9,0.0,0.0,Kenneth Gainwell right guard for 1 yard (tackle by Ja'Whaun Bentley),5.14,4.57,1.0,2023,13
1.0,9:14,2.0,8.0,NWE 8,0.0,0.0,Kenneth Gainwell right guard for 2 yards (tackle by Lawrence Guy and Jahlani Tavai),4.57,4.04,1.0,2023,13
1.0,8:29,3.0,6.0,NWE 6,0.0,0.0,Jalen Hurts sacked by Matt Judon for -8 yards,4.04,2.51,1.0,2023,13
1.0,7:46,4.0,14.0,NWE 14,3.0,0.0,Jake Elliott 32 yard field goal good,2.51,3.0,1.0,2023,13
1.0,7:42,,,PHI 35,3.0,0.0,"Jake Elliott kicks off 60 yards, returned by Ty Montgomery for 19 yards (tackle by Nolan Smith)",0.0,0.54,1.0,2023,13
1.0,7:36,1.0,10.0,NWE 24,3.0,0.0,Rhamondre Stevenson left guard for 2 yards (tackle by Milton Williams and Haason Reddick),0.54,0.27,1.0,2023,13
1.0,7:03,2.0,8.0,NWE 26,3.0,0.0,Mac Jones pass complete short middle to Hunter Henry for 9 yards (tackle by Justin Evans and Avonte Maddox),0.27,1.27,1.0,2023,13
1.0,6:38,1.0,10.0,NWE 35,3.0,0.0,Ty Montgomery right tackle for 7 yards (tackle by Reed Blankenship and Darius Slay),1.27,1.74,1.0,2023,13
1.0,6:10,2.0,2.0,NWE 42,3.0,0.0,Ezekiel Elliott right end for 11 yards (tackle by Reed Blankenship),1.74,2.46,1.0,2023,13
1.0,5:41,1.0,10.0,PHI 47,3.0,0.0,Mac Jones pass complete short left to Demario Douglas for 5 yards (tackle by Avonte Maddox),2.46,2.59,1.0,2023,13
1.0,5:16,2.0,5.0,PHI 42,3.0,0.0,Mac Jones pass incomplete short middle intended for Demario Douglas,2.59,1.88,1.0,2023,13
1.0,5:12,3.0,5.0,PHI 42,9.0,0.0,"Mac Jones pass short right intended for Kendrick Bourne is intercepted by Darius Slay at PHI-30 and returned for 70 yards, touchdown",1.88,-7.0,1.0,2023,13
1.0,4:56,,,NWE 15,10.0,0.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2023,13
1.0,4:56,,,PHI 35,10.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,13
1.0,4:56,1.0,10.0,NWE 25,10.0,0.0,"Mac Jones pass complete short left to Ezekiel Elliott for no gain. Ezekiel Elliott fumbles (forced by Jordan Davis), recovered by Zach Cunningham at NE-26 (tackle by Jordan Davis)",0.61,-3.84,1.0,2023,13
1.0,4:48,1.0,10.0,NWE 26,10.0,0.0,Kenneth Gainwell up the middle for 5 yards (tackle by Deatrich Wise and Marcus Jones),3.84,3.97,1.0,2023,13
1.0,4:09,2.0,5.0,NWE 21,10.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 9 yards,3.97,4.78,1.0,2023,13
1.0,3:45,1.0,10.0,NWE 12,10.0,0.0,Kenneth Gainwell up the middle for 2 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),4.78,4.45,1.0,2023,13
1.0,3:06,2.0,8.0,NWE 10,10.0,0.0,"Jalen Hurts sacked by. Penalty on Kyle Dugger: Defensive Holding, 5 yards (accepted) (no play)",4.45,6.06,1.0,2023,13
1.0,2:47,1.0,5.0,NWE 5,16.0,0.0,"Jalen Hurts pass complete short right to DeVonta Smith for 5 yards, touchdown",6.06,7.0,1.0,2023,13
1.0,2:39,,,NWE 15,16.0,0.0,Jake Elliott kicks extra point no good,0.0,-1.0,1.0,2023,13
1.0,2:39,,,PHI 35,16.0,0.0,"Jake Elliott kicks off 64 yards, returned by Ty Montgomery for 43 yards (tackle by Kelee Ringo)",0.0,1.86,1.0,2023,13
1.0,2:32,1.0,10.0,NWE 44,16.0,0.0,Rhamondre Stevenson left tackle for 1 yard (tackle by Derek Barnett and Milton Williams),1.86,1.45,1.0,2023,13
1.0,2:07,2.0,9.0,NWE 45,16.0,0.0,Mac Jones pass incomplete short left intended for JuJu Smith-Schuster (defended by James Bradberry),1.45,0.76,1.0,2023,13
1.0,2:03,3.0,9.0,NWE 45,16.0,0.0,Mac Jones pass incomplete short left intended for Kendrick Bourne (defended by Reed Blankenship),0.76,-0.39,1.0,2023,13
1.0,1:56,4.0,9.0,NWE 45,16.0,0.0,Bryce Baringer punts 39 yards out of bounds,-0.39,0.14,1.0,2023,13
1.0,1:49,1.0,10.0,PHI 16,16.0,0.0,Jalen Hurts pass complete short right to D'Andre Swift for no gain (tackle by Jabrill Peppers),-0.14,-0.66,1.0,2023,13
1.0,1:10,2.0,10.0,PHI 16,16.0,0.0,Jalen Hurts sacked by Josh Uche for no gain,-0.66,-1.32,1.0,2023,13
1.0,0:26,3.0,10.0,PHI 16,16.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 2 yards (tackle by Myles Bryant),-1.32,-2.24,1.0,2023,13
2.0,15:00,4.0,8.0,PHI 18,16.0,0.0,"Arryn Siposs punts 50 yards, returned by Marcus Jones for 21 yards (tackle by Reed Blankenship)",-2.24,-2.46,1.0,2023,13
2.0,14:48,1.0,10.0,PHI 47,16.0,0.0,Mac Jones pass complete short left to Ezekiel Elliott for 4 yards (tackle by James Bradberry),2.46,2.45,1.0,2023,13
2.0,14:09,2.0,6.0,PHI 43,16.0,0.0,Rhamondre Stevenson left guard for -1 yards (tackle by Jordan Davis and Nakobe Dean),2.45,1.62,1.0,2023,13
2.0,13:33,3.0,7.0,PHI 44,16.0,0.0,Mac Jones pass incomplete short left intended for Kendrick Bourne (defended by Avonte Maddox),1.62,0.33,1.0,2023,13
2.0,13:29,,,,,,Timeout #1 by Philadelphia Eagles,,,1.0,2023,13
2.0,13:29,4.0,7.0,PHI 44,16.0,0.0,"Bryce Baringer punts 36 yards, fair catch by Britain Covey at PHI-8",0.33,0.38,1.0,2023,13
2.0,13:22,1.0,10.0,PHI 8,16.0,0.0,Kenneth Gainwell up the middle for 1 yard (tackle by Adrian Phillips and Lawrence Guy),-0.38,-0.71,1.0,2023,13
2.0,12:41,2.0,9.0,PHI 9,16.0,0.0,Jalen Hurts pass incomplete deep right,-0.71,-1.3,1.0,2023,13
2.0,12:33,3.0,9.0,PHI 9,16.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 2 yards (tackle by Matt Judon),-1.3,-2.49,1.0,2023,13
2.0,11:58,4.0,7.0,PHI 11,16.0,0.0,"Arryn Siposs punts 46 yards, returned by Marcus Jones for no gain (tackle by Sydney Brown)",-2.49,-1.8,1.0,2023,13
2.0,11:49,1.0,10.0,NWE 43,16.0,0.0,Ezekiel Elliott left end for -1 yards (tackle by Derek Barnett),1.8,1.12,1.0,2023,13
2.0,11:19,2.0,11.0,NWE 42,16.0,0.0,Mac Jones pass complete short middle to Kendrick Bourne for 6 yards (tackle by Reed Blankenship),1.12,1.22,1.0,2023,13
2.0,10:47,3.0,5.0,NWE 48,16.0,0.0,Mac Jones pass incomplete short right intended for JuJu Smith-Schuster,1.22,-0.19,1.0,2023,13
2.0,10:42,4.0,5.0,NWE 48,16.0,0.0,"Bryce Baringer punts 43 yards, returned by Britain Covey for 5 yards (tackle by Mack Wilson)",-0.19,0.28,1.0,2023,13
2.0,10:30,1.0,10.0,PHI 14,16.0,0.0,Jalen Hurts pass incomplete short right,-0.28,-0.75,1.0,2023,13
2.0,10:23,2.0,10.0,PHI 14,16.0,0.0,Jalen Hurts right end for no gain (tackle by Matt Judon),-0.75,-1.4,1.0,2023,13
2.0,9:35,3.0,10.0,PHI 14,16.0,0.0,"Boston Scott up the middle for 3 yards (tackle by Ja'Whaun Bentley and Christian Barmore). Penalty on Jordan Mailata: Illegal Formation, 5 yards (declined)",-1.4,-2.32,1.0,2023,13
2.0,9:32,4.0,7.0,PHI 17,16.0,0.0,"Arryn Siposs punts 54 yards, returned by Marcus Jones for no gain. Marcus Jones fumbles (forced by Josh Jobe). Marcus Jones fumbles out of bounds",-2.32,-0.87,1.0,2023,13
2.0,9:22,1.0,10.0,NWE 29,16.0,0.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Nakobe Dean),0.87,0.73,1.0,2023,13
2.0,8:45,2.0,7.0,NWE 32,16.0,0.0,Mac Jones pass complete short right to Kendrick Bourne for 1 yard (tackle by Nakobe Dean and Justin Evans),0.73,0.17,1.0,2023,13
2.0,8:09,3.0,6.0,NWE 33,16.0,0.0,Mac Jones pass complete short left to Mike Gesicki for 9 yards (tackle by Nakobe Dean),0.17,1.73,1.0,2023,13
2.0,7:38,1.0,10.0,NWE 42,16.0,0.0,Mac Jones pass incomplete deep right intended for Kendrick Bourne (defended by Darius Slay),1.73,1.19,1.0,2023,13
2.0,7:31,2.0,10.0,NWE 42,16.0,0.0,Mac Jones pass complete short middle to Ezekiel Elliott for no gain (tackle by Zach Cunningham),1.19,0.5,1.0,2023,13
2.0,6:52,3.0,10.0,NWE 42,16.0,0.0,Mac Jones pass complete short middle to JuJu Smith-Schuster for 15 yards (tackle by Reed Blankenship),0.5,2.72,1.0,2023,13
2.0,6:20,1.0,10.0,PHI 43,16.0,0.0,Mac Jones pass complete deep right to Demario Douglas for 23 yards,2.72,4.24,1.0,2023,13
2.0,5:45,1.0,10.0,PHI 20,16.0,0.0,Mac Jones pass complete short middle to Ty Montgomery for 11 yards (tackle by Zach Cunningham),4.24,5.14,1.0,2023,13
2.0,5:16,1.0,9.0,PHI 9,16.0,0.0,Rhamondre Stevenson up the middle for no gain (tackle by Milton Williams),5.14,4.38,1.0,2023,13
2.0,4:39,2.0,9.0,PHI 9,16.0,6.0,"Mac Jones pass complete short left to Hunter Henry for 9 yards, touchdown",4.38,7.0,1.0,2023,13
2.0,4:34,,,PHI 15,16.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,1.0,2023,13
2.0,4:34,,,NWE 35,16.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,13
2.0,4:34,1.0,10.0,PHI 25,16.0,7.0,Jalen Hurts right tackle for 3 yards (tackle by Jabrill Peppers and Christian Gonzalez),0.61,0.47,1.0,2023,13
2.0,3:55,2.0,7.0,PHI 28,16.0,7.0,"Jalen Hurts pass complete to A.J. Brown for no gain. Penalty on Jack Stoll: Chop Block, 14 yards (accepted) (no play)",0.47,-1.54,1.0,2023,13
2.0,3:33,2.0,21.0,PHI 14,16.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 7 yards (tackle by Christian Gonzalez),-1.54,-1.15,1.0,2023,13
2.0,2:52,3.0,14.0,PHI 21,16.0,7.0,Jalen Hurts pass incomplete short middle intended for D'Andre Swift,-1.15,-1.96,1.0,2023,13
2.0,2:45,4.0,14.0,PHI 21,16.0,7.0,"Penalty on Patrick Johnson: Ineligible Downfield Kick, 5 yards (accepted) (no play)",-1.96,-2.39,1.0,2023,13
2.0,2:40,4.0,19.0,PHI 16,16.0,7.0,"Arryn Siposs punts 47 yards, fair catch by Marcus Jones at NE-37",-2.39,-1.4,1.0,2023,13
2.0,2:33,1.0,10.0,NWE 37,16.0,7.0,Mac Jones pass complete short right to Ty Montgomery for -2 yards (tackle by Brandon Graham),1.4,0.59,1.0,2023,13
2.0,2:00,2.0,12.0,NWE 35,16.0,7.0,Mac Jones pass complete short middle to Hunter Henry for 13 yards (tackle by Justin Evans),0.59,2.13,1.0,2023,13
2.0,1:25,1.0,10.0,NWE 48,16.0,7.0,Mac Jones pass complete short middle to Hunter Henry for 13 yards (tackle by Justin Evans),2.13,2.98,1.0,2023,13
2.0,1:02,1.0,10.0,PHI 39,16.0,7.0,"Penalty on Josh Sweat: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.98,3.71,1.0,2023,13
2.0,1:02,1.0,5.0,PHI 34,16.0,7.0,Mac Jones scrambles left end for 8 yards (tackle by Reed Blankenship),3.71,3.84,1.0,2023,13
2.0,0:38,1.0,10.0,PHI 26,16.0,7.0,Mac Jones pass complete short right to JuJu Smith-Schuster for 7 yards (tackle by Avonte Maddox),3.84,4.27,1.0,2023,13
2.0,0:30,2.0,3.0,PHI 19,16.0,13.0,"Mac Jones pass complete deep middle to Kendrick Bourne for 19 yards, touchdown",4.27,7.0,1.0,2023,13
2.0,0:25,,,PHI 15,16.0,14.0,Chad Ryland kicks extra point good,0.0,0.0,1.0,2023,13
2.0,0:25,,,NWE 35,16.0,14.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,13
2.0,0:25,1.0,10.0,PHI 25,16.0,14.0,Kenneth Gainwell up the middle for 3 yards (tackle by Kyle Dugger and Daniel Ekuale),0.61,0.47,1.0,2023,13
3.0,15:00,,,PHI 35,16.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,13
3.0,15:00,1.0,10.0,NWE 25,16.0,14.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Nakobe Dean and Jordan Davis),0.61,0.2,1.0,2023,13
3.0,14:39,2.0,9.0,NWE 26,16.0,14.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 5 yards (tackle by James Bradberry and Zach Cunningham),0.2,0.17,1.0,2023,13
3.0,14:04,3.0,4.0,NWE 31,16.0,14.0,Mac Jones pass incomplete deep left intended for Kayshon Boutte,0.17,-1.31,1.0,2023,13
3.0,13:58,4.0,4.0,NWE 31,16.0,14.0,"Bryce Baringer punts 65 yards, returned by Britain Covey for 25 yards (tackle by Brenden Schooler and Kyle Dugger)",-1.31,-0.87,1.0,2023,13
3.0,13:43,1.0,10.0,PHI 29,16.0,14.0,Jalen Hurts pass complete short middle to A.J. Brown for 15 yards (tackle by Jabrill Peppers),0.87,1.86,1.0,2023,13
3.0,13:17,1.0,10.0,PHI 44,16.0,14.0,Jalen Hurts scrambles right end for 5 yards (tackle by Myles Bryant),1.86,1.99,1.0,2023,13
3.0,12:33,2.0,5.0,PHI 49,16.0,14.0,Jalen Hurts pass complete short right to DeVonta Smith for 2 yards (tackle by Adrian Phillips),1.99,1.55,1.0,2023,13
3.0,11:53,3.0,3.0,NWE 49,16.0,14.0,Kenneth Gainwell up the middle for 7 yards (tackle by Jahlani Tavai and Deatrich Wise),1.55,2.79,1.0,2023,13
3.0,11:26,1.0,10.0,NWE 42,16.0,14.0,Jalen Hurts pass complete short right to Kenneth Gainwell for 2 yards (tackle by Jahlani Tavai),2.79,2.51,1.0,2023,13
3.0,10:44,2.0,8.0,NWE 40,16.0,14.0,Jalen Hurts pass complete short right to Quez Watkins for 9 yards (tackle by Kyle Dugger and Christian Gonzalez),2.51,3.51,1.0,2023,13
