Quarter,Time,Tm,Detail,DET,KAN,week,year,game_id
1.0,2:46,Lions,Amon-Ra St. Brown 9 yard pass from Jared Goff (Riley Patterson kick),7,0,1.0,2023,1
2.0,11:50,Chiefs,Rashee Rice 1 yard pass from Patrick Mahomes (Harrison Butker kick),7,7,1.0,2023,1
,0:34,Chiefs,Blake Bell 4 yard pass from Patrick Mahomes (Harrison Butker kick),7,14,1.0,2023,1
3.0,10:54,Lions,Brian Branch 50 yard interception return (Riley Patterson kick),14,14,1.0,2023,1
,2:10,Chiefs,Harrison Butker 35 yard field goal,14,17,1.0,2023,1
4.0,12:11,Chiefs,Harrison Butker 39 yard field goal,14,20,1.0,2023,1
,7:06,Lions,David Montgomery 8 yard rush (Riley Patterson kick),21,20,1.0,2023,1
