Quarter,Time,Tm,Detail,HOU,BAL,week,year,game_id
1.0,1:00,Ravens,J.K. Dobbins 4 yard rush (Justin Tucker kick),0,7,1.0,2023,6
2.0,3:56,Texans,Ka'imi Fairbairn 35 yard field goal,3,7,1.0,2023,6
,0:00,Texans,Ka'imi Fairbairn 38 yard field goal,6,7,1.0,2023,6
3.0,9:55,Ravens,Justice Hill 2 yard rush (Gus Edwards run),6,15,1.0,2023,6
,5:21,Ravens,Justice Hill 2 yard rush (Justin Tucker kick),6,22,1.0,2023,6
4.0,13:47,Texans,Ka'imi Fairbairn 36 yard field goal,9,22,1.0,2023,6
,4:10,Ravens,Justin Tucker 39 yard field goal,9,25,1.0,2023,6
