Quarter,Time,Tm,Detail,BUF,NYJ,week,year,game_id
1,3:05,Bills,Tyler Bass 40 yard field goal,3,0,1.0,2023,16
2,10:35,Jets,Greg Zuerlein 26 yard field goal,3,3,1.0,2023,16
,4:43,Bills,Stefon Diggs 5 yard pass from Josh Allen (Tyler Bass kick),10,3,1.0,2023,16
,0:17,Bills,Tyler Bass 34 yard field goal,13,3,1.0,2023,16
3,8:59,Jets,Greg Zuerlein 43 yard field goal,13,6,1.0,2023,16
4,4:55,Jets,Garrett Wilson 3 yard pass from Zach Wilson (Greg Zuerlein kick),13,13,1.0,2023,16
,1:48,Jets,Greg Zuerlein 30 yard field goal,13,16,1.0,2023,16
,0:02,Bills,Tyler Bass 50 yard field goal,16,16,1.0,2023,16
OT,9:02,Jets,Xavier Gipson 65 yard punt return,16,22,1.0,2023,16
