Unnamed: 0,LAR,SEA,week,year,game_id
First Downs,27,13,1.0,2023,14
Rush-Yds-TDs,40-92-3,18-85-0,1.0,2023,14
Cmp-Att-Yd-TD-INT,24-38-334-0-0,16-26-112-1-0,1.0,2023,14
Sacked-Yards,0-0,2-17,1.0,2023,14
Net Pass Yards,334,95,1.0,2023,14
Total Yards,426,180,1.0,2023,14
Fumbles-Lost,0-0,0-0,1.0,2023,14
Turnovers,0,0,1.0,2023,14
Penalties-Yards,7-53,7-55,1.0,2023,14
Third Down Conv.,11-17,2-9,1.0,2023,14
Fourth Down Conv.,1-1,0-0,1.0,2023,14
Time of Possession,39:23,20:37,1.0,2023,14
