Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Ja'Marr Chase,CIN,9,5,39,0,3.0,20,4.0,19,3.8,9.9,1,5.0,0,0.0,0,66.4,1.0,2023,3
Joe Mixon,CIN,5,3,17,0,0.0,-6,-2.0,23,7.7,-2.6,0,,1,20.0,0,66.2,1.0,2023,3
Irv Smith Jr.,CIN,5,3,17,0,,9,3.0,8,2.7,0.4,0,,1,20.0,0,66.2,1.0,2023,3
Tyler Boyd,CIN,3,2,10,0,,9,4.5,1,0.5,2.7,0,,0,0.0,0,71.5,1.0,2023,3
Chris Evans,CIN,1,1,-1,0,,-1,-1.0,0,0.0,-1.0,0,,0,0.0,0,79.2,1.0,2023,3
Tee Higgins,CIN,8,0,0,0,,0,,0,,18.9,0,,1,12.5,0,39.6,1.0,2023,3
Nick Chubb,CLE,4,4,21,0,1.0,1,0.3,20,5.0,0.3,0,,0,0.0,0,88.5,1.0,2023,3
Amari Cooper,CLE,7,3,37,0,2.0,36,12.0,1,0.3,15.4,0,,0,0.0,0,59.8,1.0,2023,3
Elijah Moore,CLE,7,3,43,0,2.0,36,12.0,7,2.3,9.1,0,,1,14.3,1,23.8,1.0,2023,3
Harrison Bryant,CLE,2,2,5,1,1.0,4,2.0,1,0.5,2.0,0,,0,0.0,0,118.7,1.0,2023,3
David Njoku,CLE,3,2,24,0,1.0,2,1.0,22,11.0,2.3,0,,0,0.0,0,91.0,1.0,2023,3
Jordan Akins,CLE,1,1,12,0,1.0,1,1.0,11,11.0,1.0,1,1.0,0,0.0,0,116.7,1.0,2023,3
Donovan Peoples-Jones,CLE,2,1,12,0,1.0,12,12.0,0,0.0,15.5,0,,0,0.0,0,68.7,1.0,2023,3
David Bell,CLE,1,0,0,0,,0,,0,,13.0,0,,1,100.0,0,39.6,1.0,2023,3
Marquise Goodwin,CLE,2,0,0,0,,0,,0,,43.0,0,,1,50.0,0,39.6,1.0,2023,3
