Unnamed: 0,DAL,NYG,week,year,game_id
First Downs,18,14,1.0,2023,15
Rush-Yds-TDs,30-122-3,28-108-0,1.0,2023,15
Cmp-Att-Yd-TD-INT,13-25-143-0-0,17-30-110-0-2,1.0,2023,15
Sacked-Yards,0-0,7-47,1.0,2023,15
Net Pass Yards,143,63,1.0,2023,15
Total Yards,265,171,1.0,2023,15
Fumbles-Lost,1-0,5-1,1.0,2023,15
Turnovers,0,3,1.0,2023,15
Penalties-Yards,5-35,6-72,1.0,2023,15
Third Down Conv.,6-13,5-16,1.0,2023,15
Fourth Down Conv.,1-2,3-5,1.0,2023,15
Time of Possession,26:32,33:28,1.0,2023,15
