Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Falcons to receive the opening kickoff.",,,1.0,2023,2
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,2
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,Desmond Ridder pass complete short right to Desmond Ridder for -6 yards (tackle by Justin Houston),0.61,-0.81,1.0,2023,2
1.0,14:24,2.0,16.0,ATL 19,0.0,0.0,Bijan Robinson left tackle for 8 yards (tackle by Jeremy Chinn),-0.81,-0.36,1.0,2023,2
1.0,13:45,3.0,8.0,ATL 27,0.0,0.0,"Desmond Ridder sacked by Brian Burns for -8 yards. Desmond Ridder fumbles (forced by Brian Burns), recovered by Desmond Ridder at ATL-19 (tackle by Brian Burns)",-0.36,-2.14,1.0,2023,2
1.0,13:12,4.0,16.0,ATL 19,0.0,0.0,"Bradley Pinion punts 31 yards out of bounds. Penalty on Sam Franklin: Offensive Holding, 10 yards (accepted)",-2.14,-1.6,1.0,2023,2
1.0,13:02,1.0,10.0,CAR 40,0.0,0.0,Miles Sanders left tackle for 4 yards (tackle by Grady Jarrett),1.6,1.59,1.0,2023,2
1.0,12:18,2.0,6.0,CAR 44,0.0,0.0,Bryce Young pass complete short middle to Terrace Marshall for 12 yards (tackle by Jessie Bates and AJ Terrell),1.59,2.65,1.0,2023,2
1.0,11:40,1.0,10.0,ATL 44,0.0,0.0,Miles Sanders right guard for 9 yards (tackle by Jessie Bates and Kaden Elliss),2.65,3.33,1.0,2023,2
1.0,10:55,2.0,1.0,ATL 35,0.0,0.0,Chuba Hubbard right tackle for 2 yards (tackle by AJ Terrell),3.33,3.38,1.0,2023,2
1.0,10:16,1.0,10.0,ATL 33,0.0,0.0,"Bryce Young for -3 yards. Bryce Young fumbles, recovered by Bryce Young at ATL-36 (tackle by Troy Andersen)",3.38,2.43,1.0,2023,2
1.0,9:38,2.0,13.0,ATL 36,0.0,0.0,Bryce Young pass complete short right to Laviska Shenault for 2 yards (tackle by Jessie Bates),2.43,2.01,1.0,2023,2
1.0,8:58,3.0,11.0,ATL 34,0.0,0.0,Bryce Young pass complete short left to Laviska Shenault for 14 yards (tackle by Richie Grant and Tre Flowers),2.01,4.24,1.0,2023,2
