Unnamed: 0,CIN,CLE,week,year,game_id
First Downs,6,21,1.0,2023,3
Rush-Yds-TDs,20-75-0,40-206-1,1.0,2023,3
Cmp-Att-Yd-TD-INT,14-32-82-0-0,16-29-154-1-1,1.0,2023,3
Sacked-Yards,2-15,3-10,1.0,2023,3
Net Pass Yards,67,144,1.0,2023,3
Total Yards,142,350,1.0,2023,3
Fumbles-Lost,0-0,2-1,1.0,2023,3
Turnovers,0,2,1.0,2023,3
Penalties-Yards,4-20,5-43,1.0,2023,3
Third Down Conv.,2-15,4-14,1.0,2023,3
Fourth Down Conv.,0-1,0-0,1.0,2023,3
Time of Possession,24:10,35:50,1.0,2023,3
