Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Colts to receive the opening kickoff.",,,1.0,2023,4
1.0,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,4
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Anthony Richardson pass complete short right to Josh Downs for 2 yards (tackle by Andre Cisco and Tre Herndon),0.61,0.33,1.0,2023,4
1.0,14:30,2.0,8.0,IND 27,0.0,0.0,Anthony Richardson pass incomplete short right intended for Andrew Ogletree,0.33,-0.36,1.0,2023,4
1.0,14:26,3.0,8.0,IND 27,0.0,0.0,Anthony Richardson sacked by Josh Allen for -2 yards,-0.36,-1.7,1.0,2023,4
1.0,13:41,4.0,10.0,IND 25,0.0,0.0,Rigoberto Sanchez punts 38 yards out of bounds,-1.7,-1.4,1.0,2023,4
1.0,13:35,1.0,10.0,JAX 37,0.0,0.0,Trevor Lawrence pass incomplete short middle intended for Zay Jones (defended by Zaire Franklin),1.4,0.86,1.0,2023,4
1.0,13:32,2.0,10.0,JAX 37,0.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 6 yards (tackle by Shaquille Leonard),0.86,0.96,1.0,2023,4
1.0,12:56,3.0,4.0,JAX 43,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Calvin Ridley,0.96,-0.52,1.0,2023,4
1.0,12:52,4.0,2.0,JAX 43,0.0,0.0,Logan Cooke punts 51 yards downed by Daniel Thomas,-0.52,0.38,1.0,2023,4
1.0,12:42,1.0,10.0,IND 6,0.0,0.0,Deon Jackson up the middle for 2 yards (tackle by Josh Allen and Travon Walker),-0.38,-0.63,1.0,2023,4
1.0,12:06,2.0,8.0,IND 8,0.0,0.0,Anthony Richardson pass complete short left to Josh Downs for 6 yards (tackle by Tyson Campbell),-0.63,-0.48,1.0,2023,4
1.0,11:25,3.0,2.0,IND 14,0.0,0.0,Deon Jackson up the middle for 1 yard (tackle by Andre Cisco),-0.48,-2.44,1.0,2023,4
1.0,10:32,4.0,1.0,IND 15,0.0,0.0,Rigoberto Sanchez punts 46 yards out of bounds,-2.44,-1.53,1.0,2023,4
1.0,10:25,1.0,10.0,JAX 39,0.0,0.0,Travis Etienne up the middle for no gain (tackle by Grover Stewart),1.53,0.99,1.0,2023,4
1.0,9:46,2.0,10.0,JAX 39,0.0,0.0,Trevor Lawrence pass complete short left to Christian Kirk for 9 yards,0.99,1.49,1.0,2023,4
1.0,9:11,3.0,1.0,JAX 48,0.0,0.0,Trevor Lawrence right end for 3 yards (tackle by DeForest Buckner),1.49,2.32,1.0,2023,4
1.0,8:32,1.0,10.0,IND 49,0.0,0.0,Trevor Lawrence pass complete deep left to Calvin Ridley for 24 yards (tackle by Dallis Flowers),2.32,3.91,1.0,2023,4
1.0,8:05,1.0,10.0,IND 25,0.0,0.0,Trevor Lawrence pass complete short right to Calvin Ridley for 5 yards (tackle by Kenny Moore),3.91,4.04,1.0,2023,4
1.0,7:30,2.0,5.0,IND 20,0.0,0.0,Travis Etienne up the middle for 8 yards (tackle by Zaire Franklin and Julian Blackmon),4.04,4.78,1.0,2023,4
1.0,6:52,1.0,10.0,IND 12,0.0,0.0,Jamal Agnew left end for no gain (tackle by Zaire Franklin),4.78,4.1,1.0,2023,4
1.0,6:14,2.0,10.0,IND 12,0.0,0.0,Trevor Lawrence pass complete short right to Calvin Ridley for 3 yards (tackle by Kwity Paye and Zaire Franklin),4.1,3.7,1.0,2023,4
1.0,5:26,3.0,7.0,IND 9,6.0,0.0,"Trevor Lawrence pass complete short left to Calvin Ridley for 9 yards, touchdown",3.7,7.0,1.0,2023,4
1.0,5:18,,,IND 15,7.0,0.0,Brandon McManus kicks extra point good,0.0,0.0,1.0,2023,4
1.0,5:18,,,JAX 35,7.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,4
1.0,5:18,1.0,10.0,IND 25,7.0,0.0,Deon Jackson up the middle for 1 yard (tackle by Foyesade Oluokun),0.61,0.2,1.0,2023,4
1.0,4:41,2.0,9.0,IND 26,7.0,0.0,Anthony Richardson pass complete short right to Kylen Granson for 11 yards (tackle by Rayshawn Jenkins and Andre Cisco),0.2,1.4,1.0,2023,4
1.0,4:11,1.0,10.0,IND 37,7.0,0.0,Deon Jackson right end for no gain (tackle by Travon Walker and Jeremiah Ledbetter),1.4,0.86,1.0,2023,4
1.0,3:33,2.0,10.0,IND 37,7.0,0.0,Anthony Richardson pass complete short right to Deon Jackson for 8 yards (tackle by Josh Allen),0.86,1.22,1.0,2023,4
1.0,2:53,3.0,2.0,IND 45,7.0,0.0,Anthony Richardson pass complete short right to Kylen Granson for 7 yards,1.22,2.39,1.0,2023,4
1.0,2:17,1.0,10.0,JAX 48,7.0,0.0,Anthony Richardson left end for 12 yards (tackle by Foyesade Oluokun),2.39,3.18,1.0,2023,4
1.0,1:48,1.0,10.0,JAX 36,7.0,0.0,Deon Jackson right tackle for 1 yard (tackle by Travon Walker),3.18,2.77,1.0,2023,4
1.0,1:09,2.0,9.0,JAX 35,7.0,0.0,Anthony Richardson pass complete short middle to Josh Downs for 22 yards (tackle by Rayshawn Jenkins),2.77,4.71,1.0,2023,4
