Unnamed: 0,CAR,ATL,week,year,game_id
First Downs,20,13,1.0,2023,2
Rush-Yds-TDs,32-154-0,26-130-2,1.0,2023,2
Cmp-Att-Yd-TD-INT,20-38-146-1-2,15-18-115-1-0,1.0,2023,2
Sacked-Yards,2-19,4-24,1.0,2023,2
Net Pass Yards,127,91,1.0,2023,2
Total Yards,281,221,1.0,2023,2
Fumbles-Lost,2-1,1-0,1.0,2023,2
Turnovers,3,0,1.0,2023,2
Penalties-Yards,9-66,6-43,1.0,2023,2
Third Down Conv.,5-14,2-10,1.0,2023,2
Fourth Down Conv.,0-2,0-0,1.0,2023,2
Time of Possession,34:41,25:19,1.0,2023,2
