Unnamed: 0,ARI,WAS,week,year,game_id
First Downs,13,21,1.0,2023,5
Rush-Yds-TDs,25-96-0,28-92-1,1.0,2023,5
Cmp-Att-Yd-TD-INT,21-30-132-0-0,19-31-202-1-1,1.0,2023,5
Sacked-Yards,3-18,6-46,1.0,2023,5
Net Pass Yards,114,156,1.0,2023,5
Total Yards,210,248,1.0,2023,5
Fumbles-Lost,3-2,2-2,1.0,2023,5
Turnovers,2,3,1.0,2023,5
Penalties-Yards,9-122,8-70,1.0,2023,5
Third Down Conv.,4-14,4-12,1.0,2023,5
Fourth Down Conv.,0-1,0-0,1.0,2023,5
Time of Possession,28:36,31:24,1.0,2023,5
