Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Giants to receive the opening kickoff.",,,1.0,2023,15
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,15
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Saquon Barkley left guard for 5 yards (tackle by Leighton Vander Esch and Malik Hooker),0.61,0.74,1.0,2023,15
1.0,14:28,2.0,5.0,NYG 30,0.0,0.0,"Daniel Jones scrambles left end for 8 yards (tackle by Jayron Kearse). Penalty on Jayron Kearse: Unnecessary Roughness / Defense, 15 yards (accepted)",0.74,2.46,1.0,2023,15
1.0,14:00,1.0,10.0,DAL 47,0.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for no gain (tackle by Johnathan Hankins),2.46,1.91,1.0,2023,15
1.0,13:28,2.0,10.0,DAL 47,0.0,0.0,Saquon Barkley right tackle for 9 yards (tackle by Micah Parsons and Malik Hooker),1.91,2.41,1.0,2023,15
1.0,12:46,3.0,1.0,DAL 38,0.0,0.0,Saquon Barkley right end for 5 yards (tackle by Malik Hooker),2.41,3.38,1.0,2023,15
1.0,12:04,1.0,10.0,DAL 33,0.0,0.0,Matt Breida right guard for 6 yards (tackle by Leighton Vander Esch),3.38,3.65,1.0,2023,15
1.0,11:25,2.0,4.0,DAL 27,0.0,0.0,Daniel Jones scrambles right end for 11 yards (tackle by Malik Hooker),3.65,4.51,1.0,2023,15
1.0,10:45,,,,,,Timeout #1 by New York Giants,,,1.0,2023,15
1.0,10:45,1.0,10.0,DAL 16,0.0,0.0,Saquon Barkley up the middle for no gain (tackle by Juanyeh Thomas),4.51,3.9,1.0,2023,15
1.0,10:06,2.0,10.0,DAL 16,0.0,0.0,Daniel Jones scrambles left tackle for 8 yards (tackle by Stephon Gilmore),3.9,4.62,1.0,2023,15
1.0,9:17,3.0,2.0,DAL 8,0.0,0.0,"Penalty on Andrew Thomas: False Start, 5 yards (accepted) (no play)",4.62,3.54,1.0,2023,15
1.0,8:52,3.0,7.0,DAL 13,0.0,0.0,"John Michael Schmitz aborted snap, recovered by Daniel Jones at DAL-13",3.54,1.67,1.0,2023,15
1.0,8:14,4.0,21.0,DAL 27,6.0,0.0,"Graham Gano 45 yard field goal no good blocked by Juanyeh Thomas, touchdown",1.67,-7.0,1.0,2023,15
1.0,8:03,,,NYG 15,6.0,0.0,Brandon Aubrey kicks extra point no good,0.0,-1.0,1.0,2023,15
1.0,8:03,,,DAL 35,6.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,15
1.0,8:03,1.0,10.0,NYG 25,6.0,0.0,Daniel Jones pass incomplete short right intended for Darius Slayton (defended by Dante Fowler),0.61,0.06,1.0,2023,15
1.0,7:59,2.0,10.0,NYG 25,6.0,0.0,Daniel Jones pass incomplete short right intended for Darren Waller (defended by Juanyeh Thomas),0.06,-0.62,1.0,2023,15
1.0,7:54,3.0,10.0,NYG 25,6.0,0.0,Daniel Jones sacked by Micah Parsons for -10 yards,-0.62,-2.44,1.0,2023,15
1.0,7:18,4.0,20.0,NYG 15,6.0,0.0,Jamie Gillan punts 59 yards downed by Nick McCloud,-2.44,-0.67,1.0,2023,15
1.0,7:06,1.0,10.0,DAL 26,6.0,0.0,Dak Prescott pass complete short right to Jake Ferguson for 2 yards (tackle by Xavier McKinney),0.67,0.4,1.0,2023,15
1.0,6:36,2.0,8.0,DAL 28,6.0,0.0,Tony Pollard right guard for 4 yards (tackle by Micah McFadden and Adoree' Jackson),0.4,0.23,1.0,2023,15
1.0,5:55,3.0,4.0,DAL 32,6.0,0.0,Dak Prescott pass complete deep left to CeeDee Lamb for 49 yards (tackle by Adoree' Jackson),0.23,4.31,1.0,2023,15
1.0,5:25,1.0,10.0,NYG 19,6.0,0.0,Dak Prescott pass complete short right to Jake Ferguson for 9 yards (tackle by Tre Hawkins and Xavier McKinney),4.31,5.36,1.0,2023,15
1.0,4:47,2.0,1.0,NYG 10,6.0,0.0,Tony Pollard right guard for 4 yards (tackle by Micah McFadden and Bobby Okereke),5.36,5.83,1.0,2023,15
1.0,4:10,1.0,6.0,NYG 6,6.0,0.0,Dak Prescott pass incomplete short left intended for Jake Ferguson (defended by Xavier McKinney) (defended by Deonte Banks),5.83,4.95,1.0,2023,15
1.0,4:05,2.0,6.0,NYG 6,6.0,0.0,Dak Prescott pass complete short right to KaVontae Turpin for 4 yards (tackle by Adoree' Jackson and Jason Pinnock),4.95,4.95,1.0,2023,15
1.0,3:30,,,,,,Timeout #2 by New York Giants,,,1.0,2023,15
1.0,3:30,3.0,2.0,NYG 2,6.0,0.0,Dak Prescott pass incomplete short left intended for Jake Ferguson,4.95,3.25,1.0,2023,15
1.0,3:24,4.0,2.0,NYG 2,9.0,0.0,Brandon Aubrey 21 yard field goal good,3.25,3.0,1.0,2023,15
1.0,3:21,,,DAL 35,9.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,15
1.0,3:21,1.0,10.0,NYG 25,9.0,0.0,Daniel Jones sacked by DeMarcus Lawrence for -9 yards,0.61,-1.29,1.0,2023,15
1.0,2:39,2.0,19.0,NYG 16,9.0,0.0,Daniel Jones pass incomplete deep left,-1.29,-2.14,1.0,2023,15
1.0,2:30,3.0,19.0,NYG 16,15.0,0.0,"Daniel Jones pass short left (defended by Trevon Diggs) intended for Saquon Barkley is intercepted by DaRon Bland at NYG-22 and returned for 22 yards, touchdown",-2.14,-7.0,1.0,2023,15
1.0,2:22,,,NYG 15,16.0,0.0,Brandon Aubrey kicks extra point good,0.0,0.0,1.0,2023,15
1.0,2:22,,,DAL 35,16.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,15
1.0,2:22,1.0,10.0,NYG 25,16.0,0.0,Saquon Barkley left tackle for 5 yards (tackle by Jayron Kearse and Damone Clark),0.61,0.74,1.0,2023,15
1.0,1:45,2.0,5.0,NYG 30,16.0,0.0,Saquon Barkley left guard for 3 yards (tackle by Markquese Bell),0.74,0.43,1.0,2023,15
1.0,1:11,3.0,2.0,NYG 33,16.0,0.0,Daniel Jones right end for -5 yards (tackle by Markquese Bell),0.43,-1.5,1.0,2023,15
1.0,0:32,4.0,7.0,NYG 28,16.0,0.0,"Jamie Gillan punts 62 yards, returned by KaVontae Turpin for 10 yards (tackle by Micah McFadden)",-1.5,-0.28,1.0,2023,15
1.0,0:21,1.0,10.0,DAL 20,16.0,0.0,Tony Pollard left tackle for -2 yards (tackle by Jordon Riley and Kayvon Thibodeaux),0.28,-0.63,1.0,2023,15
2.0,15:00,2.0,12.0,DAL 18,16.0,0.0,Dak Prescott pass incomplete short left intended for Brandin Cooks,-0.63,-1.33,1.0,2023,15
2.0,14:50,3.0,12.0,DAL 18,16.0,0.0,"Dak Prescott pass incomplete deep right intended for Brandin Cooks. Penalty on Tre Hawkins: Defensive Pass Interference, 37 yards (accepted) (no play)",-1.33,2.59,1.0,2023,15
2.0,14:46,1.0,10.0,NYG 45,16.0,0.0,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by Xavier McKinney),2.59,2.04,1.0,2023,15
2.0,14:44,2.0,10.0,NYG 45,16.0,0.0,Tony Pollard right tackle for 2 yards (tackle by Rakeem Nunez-Roches),2.04,1.62,1.0,2023,15
2.0,14:19,3.0,8.0,NYG 43,16.0,0.0,Dak Prescott pass complete short right to Tony Pollard for 5 yards (tackle by Isaiah Simmons and Tre Hawkins),1.62,0.72,1.0,2023,15
2.0,13:44,4.0,3.0,NYG 38,16.0,0.0,Dak Prescott pass complete short middle to Brandin Cooks for 6 yards (tackle by Tre Hawkins),0.72,3.45,1.0,2023,15
2.0,13:08,1.0,10.0,NYG 32,16.0,0.0,Rico Dowdle right guard for 10 yards (tackle by Dane Belton and Kayvon Thibodeaux),3.45,4.11,1.0,2023,15
2.0,12:24,1.0,10.0,NYG 22,16.0,0.0,Rico Dowdle left guard for 2 yards (tackle by Dexter Lawrence and Azeez Ojulari),4.11,3.83,1.0,2023,15
2.0,11:45,2.0,8.0,NYG 20,16.0,0.0,Rico Dowdle right guard for no gain (tackle by Kayvon Thibodeaux),3.83,3.14,1.0,2023,15
2.0,11:05,3.0,8.0,NYG 20,16.0,0.0,Dak Prescott pass incomplete short right intended for Jake Ferguson,3.14,2.12,1.0,2023,15
2.0,11:00,4.0,8.0,NYG 20,19.0,0.0,Brandon Aubrey 38 yard field goal good,2.12,3.0,1.0,2023,15
2.0,10:55,,,DAL 35,19.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,15
2.0,10:55,1.0,10.0,NYG 25,19.0,0.0,"Daniel Jones pass short right intended for Darren Waller is intercepted by Stephon Gilmore at NYG-38 and returned for no gain (tackle by Darren Waller). Penalty on Evan Neal: Offensive Holding, 10 yards (declined)",0.61,-3.05,1.0,2023,15
2.0,10:48,1.0,10.0,NYG 38,19.0,0.0,Dak Prescott pass complete deep middle to Brandin Cooks for 16 yards (tackle by Adoree' Jackson),3.05,4.11,1.0,2023,15
2.0,10:04,1.0,10.0,NYG 22,19.0,0.0,KaVontae Turpin left end for 6 yards (tackle by Jason Pinnock),4.11,4.46,1.0,2023,15
2.0,9:21,2.0,4.0,NYG 16,19.0,0.0,"Dak Prescott pass incomplete intended for CeeDee Lamb. Penalty on Deonte Banks: Illegal Contact, 5 yards (accepted) (no play)",4.46,4.84,1.0,2023,15
2.0,9:21,1.0,10.0,NYG 11,19.0,0.0,Dak Prescott left end for 6 yards (tackle by Xavier McKinney and Deonte Banks),4.84,5.28,1.0,2023,15
2.0,8:46,2.0,4.0,NYG 5,19.0,0.0,Tony Pollard left guard for 3 yards (tackle by Leonard Williams and Micah McFadden),5.28,5.12,1.0,2023,15
2.0,8:07,3.0,1.0,NYG 2,25.0,0.0,"Tony Pollard right end for 2 yards, touchdown",5.12,7.0,1.0,2023,15
2.0,8:03,,,NYG 15,26.0,0.0,Brandon Aubrey kicks extra point good,0.0,0.0,1.0,2023,15
2.0,8:03,,,DAL 35,26.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,15
2.0,8:03,1.0,10.0,NYG 25,26.0,0.0,Saquon Barkley left guard for no gain (tackle by Leighton Vander Esch),0.61,0.06,1.0,2023,15
2.0,7:23,2.0,10.0,NYG 25,26.0,0.0,"Daniel Jones pass complete to Parris Campbell for no gain (tackle by Markquese Bell). Penalty on Trevon Diggs: Defensive Holding, 5 yards (accepted) (no play)",0.06,0.94,1.0,2023,15
2.0,7:00,1.0,10.0,NYG 30,26.0,0.0,Daniel Jones pass complete short right to Darren Waller for 6 yards (tackle by Stephon Gilmore),0.94,1.2,1.0,2023,15
2.0,6:28,2.0,4.0,NYG 36,26.0,0.0,Saquon Barkley right tackle for 3 yards (tackle by Osa Odighizuwa and Jayron Kearse),1.2,0.89,1.0,2023,15
