Unnamed: 0,MIA,LAC,week,year,game_id
First Downs,30,30,1.0,2023,12
Rush-Yds-TDs,20-70-1,40-233-3,1.0,2023,12
Cmp-Att-Yd-TD-INT,28-45-466-3-1,23-33-229-1-0,1.0,2023,12
Sacked-Yards,0-0,3-29,1.0,2023,12
Net Pass Yards,466,200,1.0,2023,12
Total Yards,536,433,1.0,2023,12
Fumbles-Lost,2-1,0-0,1.0,2023,12
Turnovers,2,0,1.0,2023,12
Penalties-Yards,6-38,6-70,1.0,2023,12
Third Down Conv.,4-9,9-15,1.0,2023,12
Fourth Down Conv.,1-1,0-1,1.0,2023,12
Time of Possession,27:19,32:41,1.0,2023,12
